Mod Name,Project ID,File ID,Version,Author(s),Summary,File Size (Bytes),Game Versions
Botany Trees,411357,6002883,BotanyTrees-Forge-1.20.1-9.0.18.jar,DarkhaxDev,Allows you to grow trees in small pots.,256540,"Client, NeoForge, 1.20.1, Forge, Server"
Ultimate Car Mod,267458,5982592,[FORGE][1.20.1] Ultimate Car Mod 1.20.1-1.0.34,henkelmax," This mod brings cars, road construction and biodiesel production into your Minecraft world.",2659299,"1.20.1, Forge"
Alex's Caves Delight,1035901,6074705,alexscavesdelight-1.0.24-1.20.1,FixerLink1,Adds compatibility between Alex's Caves and Farmer's Delight. Vanilla style.,125677,"Client, 1.20.1, Forge, Server"
GT--,985872,6089123,gtnn-1.20.1-1.1.8,Arborsm,Add some machine and some process line to GTCEu Modern.,7355457,"NeoForge, 1.20.1, Forge"
Entangled,301034,5885909,Entangled 1.3.20 for Forge 1.20.4,SuperMartijn642,Entangled allows you to 'entangle' two blocks together!,122627,"1.20.2, Client, 1.20.3, 1.20.1, Forge, 1.20, 1.20.4, Server"
Ash API,838498,4653714,[Forge 1.20.1] v3.0.2,Trikzon,"An abstraction layer between Fabric, Forge, and Quilt's APIs.",39020,"Client, 1.20.1, Forge, Server"
Apotheosis Delight,1099761,6067347,apotheosisdelight-1.0.3.1-1.20.1,Project_Count,Adds compatibility between Apotheosis and Farmer's Delight. Vanilla style.,39772,"Client, 1.20.1, Forge, Server"
Ultimate Chess,634998,4725231,Chess mod - Forge - 1.1.4 - 1.20,LazrProductions,Chess in Minecraft! No way!,251902,"1.20.1, Forge, 1.20"
Erroring Entity Remover Reforged,631342,4583417,eerreforged-1.20.1-1.0.7.jar,AzureDoomC,Removes entities that throw errors and crash the game while ticking. Forge Version,63594,"1.20.1, Forge"
Nebulus better portals,1006966,5279948,nebulus_better_portals-1.0.0.jar,Nebulus,adds 13 different portals,140862,"Client, 1.20.1, Forge, Server"
Create Utilities (Fabric/Forge),881586,5225304,[Forge 1.20.1] v0.3.0,duquee___,"A Create Addon that primarily adds ender-like blocks. Experience the power of the void motor, void chest, and void tank as you effortlessly transport rotation, items and fluids.",355674,"Client, 1.20.1, Forge, Server"
Hexerei,548599,5997725,hexerei-0.4.2.2.jar,JoeFoxe,A Witchery and Magic mod,11376755,"Client, NeoForge, 1.20.1, Forge, Server"
End Portal Recipe,346030,6186091,[Fabric/Forge/Neo] 1.20.1-5.7 | End Portal Recipe,Serilum,"?? Makes the end portal craftable, movable and available in survival plus other tweaks.",37396,"Fabric, NeoForge, 1.20.1, Forge, Quilt"
Autochef's Delight,964282,6160242,[Forge 1.20.1] 1.0.6,Snownee,Support stacked cooking & optimize recipe-matching in Farmer's Delight,198412,"NeoForge, 1.20.1, Forge, 1.20"
More Vanilla Shields! (Fabric/Forge/NeoForge),940758,5841223,More Vanilla Shields! 1.1.3-1.20.1,Rajhab,Lets you get more shields with vanilla materials. Fabric / Forge / NeoForge,330205,"Client, NeoForge, 1.20.1, Forge, Server"
Ultimate 500+ Blocks Neo(Forge),979396,5817266,mysticrift_blocks-15.4.6-forge-1.20.1.jar,"SmartStreamLabs, Developer_Ada",500 New blocks for minecraft + Support create,2736516,"Client, 1.20.1, Forge, Server"
More Red x CC:Tweaked Compat,867286,4650653,MoreRed-CCT-Compat-1.20.1-1.0.0.jar,YuRaNnNzZZ,Provides More Red bundled cables support to CC:Tweaked,9388,"NeoForge, 1.20.1, Forge"
Cucumber Library,272335,5857370,Cucumber-1.20.1-7.0.13.jar,BlakeBr0,A library of shared code and functionality used by my mods.,269589,"1.20.1, Forge"
Stacked Blocks: Farmer's Delight,1171176,6189977,Stacked Blocks: Farmer's Delight 25.02.13 - 1.20+,axperty,A compatibility mod for Stacked Blocks and Farmer's Delight.,349319,"Client, NeoForge, 1.20.1, Forge, 1.20, Server"
Wild Fields,1172898,6117755,Wild Fields 1.20.1 v.1.0.2,Almiris,"This mod adds new expansive biomes to the game, featuring wild open landscapes that bring more diversity and beauty to your world.",1281078,"Fabric, Client, 1.20.1, Server"
Woodworks,543610,6151448,Woodworks 1.20.1 - 3.0.2,"TeamAbnormals, bageldotjpg",Adds wood variants for many decoration blocks and introduces some more types of blocks!,1438278,"NeoForge, 1.20.1, Forge"
Create: Haven Qualities,895548,5479278,create_haven-1.0.0-1.20.1.jar,CathieNova,"Add more blocks, items and recipes, an addon for Create.",714601,"Client, 1.20.1, Forge, Server"
Easy Piglins,419372,5688758,[FORGE][1.20.1] Easy Piglins 1.20.1-1.0.13,henkelmax,Never get annoyed by bartering anymore!,217158,"1.20.1, Forge"
Tetra's Delight,845576,4825544,tetrasdelight-1.20.1-1.jar,hyperlynx01,Make knives work with Tetra!,5152,"NeoForge, 1.20.1, Forge, Server"
Raided,580942,5128249,Raided-1.20.1-0.1.4.jar,Mrbysco,Expands upon the vanilla raid system to allow for more advanced raid mechanics,131608,"Client, NeoForge, 1.20.1, Forge, 1.20, Server"
Tesseract,379232,6082056,Tesseract 1.0.37 for Forge 1.20.1,SuperMartijn642,"Tesseract allows you to transport Items, Fluid and Energy",1204169,"Client, 1.20.1, Forge, 1.20, Server"
Create Ratatouille,983234,5882077,create_ratatouille-1.20.1-1.2.jar,"Neve3, sweetfizz",adds machine and items about  agricultural and food processing,561536,"Client, 1.20.1, Forge, Server"
Marigold Flower!,855153,5171470,Marigolds 1.0.5 (Forge),Beast135,Adds a new flower! The marigold!,24782,"Client, 1.20.1, Forge, Server"
Ocean Floor - Clay Sand and Dirt,231837,4624780,oceanfloor-1.20.1-1.1.0.jar,Lothrazar,"Spawns patches of Clay, Sand, and Dirt, within the Deep Dcean layer of boring gravel",13260,"NeoForge, 1.20.1, Forge"
Mo' Glowstone Lamps,418299,4770558,mo-glowstone-lamps-1.20.1-1.4.2.jar,TheMasterGeneral,RGB fanciness!,132744,"1.20.1, Forge"
"Loot Integrations: Moog's Voyager, Soaring, End & Nether Structures",1152715,6174523,lootintegrations_moog-1.4.jar,someaddon,"Adds better loot to Moog's Voyager, Soaring, End & Nether Structures chests, including modded loot",5441,"1.21, Fabric, 1.18.2, 1.19.2, NeoForge, 1.20.1, Forge, 1.21.1, Server"
ExtraStorage,410168,5168999,ExtraStorage-1.20.1-4.0.7,3divad99,"Add new blocks to Refined Storage, like more advanced crafters",370532,"NeoForge, 1.20.1, Forge"
Beastly Beacons,807960,5778295,BeastlyBeaconsV1.7.jar,Mindthemoods,Overhauled beacon system; Balancing and Enhancements,2877617,"1.20.1, Forge, Server"
Lithostitched,936015,6183392,1.4.4 ~ Forge 1.20,"Apollo, SmellyModder",Library mod with new configurability and compatibility enhancements for worldgen,469486,"1.20.1, Forge"
Ring of Repair [FORGE/NEOFORGE],332518,5139487,RingOfRepair-Forge-1.20.1-1.6.3.jar,kwpugh,Slowly repairs items and armor in inventory,14868,"Client, 1.20.1, Forge, Server"
Deeper and Darker,659011,5906086,v1.3.3 for Forge 1.20.1,"KyaniteMods, ttv_pedro270707, nitro_dynamite18, NewJumperr, angg_xdd","Deep Dark expansion mod adding new mobs, items, blocks and a new dimension.",17844266,"1.20.1, Forge"
Paragliders,289240,5046069,Paraglider-forge-20.1.3,Tictim,BotW style Paraglider,589055,"Client, NeoForge, 1.20.1, Forge, Server"
Wilder Wilds,501983,5521489,[FORGE] Wilder Wilds V2.0.2 - 1.20.1,Season_Cookie,"Decorate you Builds with colorful Flowers, Plants, and Blocks",1238125,"1.20.1, Forge"
Leathered Boots,689785,5501990,[Forge - 1.20.1] Leathered Boots v4.0.0,"CrystalSpider, sZeta99, MoonstoneWebber",Comfy and sturdy boots!,228234,"Client, 1.20.1, Forge, Server"
Inventory Sorter,240633,5979609,inventorysorter-1.20.1-23.0.8.jar,cpw,Simple inventory sorting tweaks,52385,"1.20.1, Forge"
Enchant Icon,952040,5337024,EnchantIcon-Forge-1.20.1-1.1.1-13.jar,yuriscat,A quick solution to view the enchantment status,200123,"1.20.2, 1.20.3, 1.20.1, Forge, 1.20, 1.20.4"
Callable Horses,331746,4730035,callablehorses-1.20.1-1.3.0.1,Tschipp,"Callable Horses allows players to call their horse from anywhere, like in popular RPG games",137704,"NeoForge, 1.20.1, Forge, 1.20"
All The Compatibility,560350,6066154,ATC v.2.2.0,XxRexRaptorxX,Adds new recipes to use ores from AllTheOres in machines of other mods. In order to standardize everything!,598155,"NeoForge, 1.20.1, Forge, 1.20, Server"
Create: Balanced Flight (Angel Ring),538560,5418203,balancedflight-1.20.1_v2.3.0.jar,Txni,"An ""Angel Ring"" addon for Create that doesn't break the game.",116783,"Client, NeoForge, 1.20.1, Forge, Server"
Ring of Blink [FABRIC/FORGE/NEOFORGE],332562,5143854,RingOfBlink-Forge-1.20.1-1.6.1.jar,kwpugh,Travel around like an Enderman,17116,"Client, 1.20.1, Forge, Server"
Smooth Boot (Reloaded),633412,5016280,Smooth Boot (Reloaded) 0.0.4 for MC 1.20.1,AbdElAziz333,Tweaks for Minecraft CPU scheduling and unofficial fork of Smooth Boot mod for Minecraft Forge 1.18.2+,41044,"Client, 1.20.1, Forge, Server"
Do a Barrel Roll,663658,5326142,3.5.6 for Forge 1.20.1,enjarai,Microsoft flight simulator for Minecraft elytras. ,625488,"NeoForge, 1.20.1, Forge, 1.20"
Ars Instrumentum,580179,5047343,Ars Instrumentum 1.20.1 4.1.0,"Sarenor, Alexth99",A small collection of utility items for Ars Nouveau,145184,"Client, NeoForge, 1.20.1, Forge, Server"
Decorative covers,1032753,5727710,Decorativecovers 1.20.1 - v1.2 - Forge,Alexander8VKHZ,Covers to decorate your buildings,649953,"Client, 1.20.1, Forge, Server"
More Create Burners,1111030,6104568,moreburners-1.20.1-0.3.1.jar,"DragonEgg, Thirace",A Create addons that adds more burners.,134857,"Client, 1.20.1, Forge, Server"
Sliding Doors,994764,5294850,Sliding doors 1.20.1 - v1.1 - Forgue,Alexander8VKHZ,Sliding doors to decorate your buildings,1163889,"Client, 1.20.1, Forge, Server"
Blood Magic ,224791,5290993,bloodmagic-1.20.1-3.3.3-45.jar,"WayofTime, TehNut",An arcane art for ultimate power,14419429,"Client, 1.20.1, Forge, Server"
Effortless Building Patched,1062187,5740848,effortlessbuilding-1.20.1-3.8.2.jar,Pansmith,Effortless Building patched to work on servers again,1382373,"Client, 1.20.1, Forge, Server"
Wider Ender Chests,1010456,5698855,[Forge] Wider Ender Chests - MC 1.20.X - 1.0.3,Lupin,Craft new ender chests and unlock additional inventory slots!,331413,"1.20.2, 1.20.3, 1.20.1, Forge, 1.20.4"
Burnt: Better Vanilla Fire,998916,5878847,Burnt 1.8.3.1,pxlbnk,"The vanilla fire enhancing mod. Light it up, burn it down. Realistic fire spread and burnt blocks.",6842195,"Client, 1.20.1, Forge, Server"
Tinted Planks,1164785,6114773,tinted_planks-4.0.0-forge-1.20.1.jar,Devilswarchild,Planks Now with a Variety of Colors,1470497,"Client, NeoForge, 1.20.1, Forge, Server"
Storage Racks,483682,5335472,Storage Racks 1.20.1 1.9,Raycoms,Simple but Powerful Storage Mod,517646,"1.20.1, Forge"
Ender IO,64578,6035212,Ender IO - 6.2.7-beta,"crazypants_mc_the_second, HenryLoenwind, mystchonky, EpicSquid315, Rover656, Ferri_Arnus, agnor99, tterrag1098",Ender IO,8075482,"1.20.1, Forge"
Better Burning,353434,4714733,BetterBurning-Forge-1.20.1-9.0.2.jar,DarkhaxDev,Improves the burning and fire mechanics of Minecraft.,12861,"Client, NeoForge, 1.20.1, Forge, Server"
Wabi-Sabi Structures (Forge),686097,4688299,Wabi-Sabi Structures - 2.0.0,"shadow_of_wights, WillFord27","A collection of unique, quality structures based on the Japanese concept of ""Wabi-Sabi""",1334033,"1.20.2, 1.20.3, 1.20.1, Forge, 1.20, 1.20.4, 1.20-Snapshot"
Dyeable Redstone Signal,643176,4704447,Dyeable Redstone Signal mod 3.0.0 for Minecraft 1.20.X forge,Viola_Siemens,Colorful redstone wires make your redstone circuits more complex!,233209,"Client, 1.20.1, Forge, 1.20, Server"
Create Waystones Recipes,1086710,5755099,create_waystones_recipes-1.0.1.b,Reggarf,This mod change Waystones Recipes into create recipes,102290,"Client, 1.20.1, Forge, Server"
YUNG's Better End Island (Forge),901344,5193815,[1.20] YUNG's Better End Island v2.0.6 (Forge),"YUNGNICKYOUNG, EveCommander",An overhaul of the main End Island where the dragon fight takes place!,387111,"1.20.1, Forge, 1.20"
Structure Compass,319598,5774342,StructureCompass-1.20.1-2.1.0.jar,Mrbysco,Adds a compass for each structure that you can use to locate structures,67135,"1.20.1, Forge, 1.20"
BoatOverhaul [Forge],702162,4650672,BoatOverhaul-Forge-1.20.1-2.0.0.jar,MikhailTapio,Add gearable and rudderable boat sailing mechanism to Minecraft!,185874,"Client, 1.20.1, Forge, 1.20"
Whetstones,882743,4648225,Whetstones 1.0.1 for Forge 1.20,Bakabreak,Whetstones allow you to easily repair tools in hand,28943,"1.20.2, NeoForge, 1.20.3, 1.20.1, Forge, 1.20, 1.20.4"
Friends&Foes Delight,1107605,6078418,friendsfoesdelight-1.0.2.1-1.20.1,Project_Count,Adds compatibility between Friends&Foes and Farmer's Delight. Vanilla style.,27341,"Client, 1.20.1, Forge, Server"
Ease Out Night Vision,703882,5718060,ease-out-night-vision-0.2-1.20.1-forge.jar,semper1dem,Add ease out effect instead of pulsing when Night Vision effect is running out,9251,"Client, NeoForge, 1.20.1, Forge"
FastFurnace,299540,5181098,FastFurnace-1.20.1-8.0.2.jar,Shadows_of_Fire,A performance upgrade for the furnace.,6170,"NeoForge, 1.20.1, Forge"
XNet,260912,5712546,XNet - 1.20-6.1.6,McJty,"XNet is a highly optimized networking cable system for items, energy, fluids, information, ...",574781,"1.20.1, Forge"
PneumaticCraft: Repressurized,281849,6142963,pneumaticcraft-repressurized-6.0.20+mc1.20.1.jar,"desht_08, Minemaarten",Doing cool stuff with pressurized air,10789010,"NeoForge, 1.20.1, Forge"
Noisium,930207,5650506,2.3.0 (1.20-1.20.1),Steveplays28,Optimises worldgen performance for a better gameplay experience.,218152,"NeoForge, 1.20.1, Forge, 1.20"
Medieval Origins Revival [Forge/Neo/Fabric],897171,6124153,Forge/Neoforge-6.5.1+1.20.1,MuonR,"Origins inspired by mythology, fantasy, and the medieval era.",3468656,"NeoForge, 1.20.1, Forge"
Ex Deorum,901420,5918825,Ex Deorum 1.44,thedarkcolour,Port of the original Ex Nihilo to 1.20 and beyond.,2065151,"NeoForge, 1.20.1, Forge"
Time in a bottle [FORGE\NEOFORGE\FABRIC],895919,4744787,Time in a bottle 1.20.1 - 4.0.4,MangoRage,A fork of Time in a bottle standalone,56125,"1.20.1, Forge"
YUNG's Better Jungle Temples (Forge),897669,5331760,[1.20] YUNG's Better Jungle Temples v2.0.5 (Forge),"YUNGNICKYOUNG, TeraBuildsStuff",A complete redesign of Minecraft's jungle temples!,806652,"1.20.1, Forge, 1.20"
Illuminations Legacy ??,418423,5653959,illuminations-1.20.1-1.0.1,doctor4t,"An updated legacy version of Lumen, the version of Illuminations for Forge 1.12",377173,"Client, NeoForge, 1.20.1, Forge"
TCT Core,1060479,6124934,TCTcore-1.6,The_TCT,This mod allows you to centralize all the other mods in order to be able to access the information or settings directly in the game,1583469,"NeoForge, 1.20.1, Forge"
Kobolds!,484967,5605622,Kobolds V2.12.0,Jusey1z,Adds a new underground civilization of tiny lizard people!,2435938,"1.20.1, Forge"
CrashExploitFixer,1079896,5608519,CrashExploitFixer Forge 1.1.0+1.20.1,drexhd," A port of Papers Improve-tag-parser-handling patch, to fix a server crash exploit.",688719,"1.17.1, 1.16.3, 1.19.3, 1.16.1, 1.18.1, 1.14.4, 1.17, 1.15, 1.16, 1.19.4, 1.16.5, 1.18.2, 1.19.2, 1.15.2, 1.20.1, Forge, 1.20, 1.19.1, 1.18, 1.16.4, 1.16.2, 1.19, 1.15.1"
Let Me Despawn,663477,5803583,letmedespawn-1.20.x-forge-1.4.4.jar,frikinjay,Improves performance by tweaking mob despawn rules.,13521,"1.20.2, 1.20.3, 1.20.1, Forge, 1.20.4, Server"
Responsive Shields,557556,4922027,Responsive Shields 2.3 for Minecraft 1.18.x to 1.20.x,Revvilo,Remove that delay when blocking,63747,"1.19.3, 1.20.2, 1.18.1, 1.19.4, Client, 1.18.2, 1.19.2, 1.20.3, 1.20.1, Forge, 1.20, 1.19.1, 1.20.4, 1.18, Server, 1.19"
Grabby Mobs,881030,5572485,[Fabric/Forge/Neo] 1.20.1-1.6 | Grabby Mobs,Serilum,?? Allows all mobs which can carry equipment to pick up items from the floor.,30887,"Fabric, NeoForge, 1.20.1, Forge, Quilt"
Create: Stone Generator,1010812,5980626,createstonegenerator-0.0.3.jar,thetj_,A small addon to create the various create stones,85054,"Client, 1.20.1, Forge, Server"
Pineapple Delight,687974,5974388,PineappleDelight-Forge-1.20-1.0.8-Fix2(AssetsUpdate).jar,AmarokIce,Take Pineapple to Minecraft?,58669,"1.20.1, Forge"
Suggestion Provider Fix,469647,4591193,SuggestionProviderFix-1.20.1-1.0.0.jar,HarleyOConnor,Small fix to the commands suggestion provider so modded resources are auto-filled properly.,5073,"1.20.1, Forge"
All The Utilities,923626,4801641,All The Utilities 1.20.1 - 0.1.1.jar,Aidenboss434_OFFICIAL,"This Mod adds Cobble Stone Armor , a cheap wrench and more",62772,"1.20.1, Forge"
Potion Bundles,382836,5089759,potionbundles-1.20-1.8,"IchHabeHunger54, Minecraftschurli","Three potions can now be bound into bundles, to save inventory space.",59136,"1.20.1, Forge, 1.20"
GlitchCore,955399,5787839,GlitchCore Forge 1.20.1-0.0.1.1,TheAdubbz,A library mod aimed at abstracting mod loaders and providing various utilities for our mods.,87550,"1.20.1, Forge"
Chat Impressive Animation,972468,5973750,ChatImpressiveAnimation-forge-1.2.1+mc1.20.4.jar,"Wulian233, TexTrue",Makes chat messages appear with a smooth animation.,251010,"1.20.2, Client, 1.20.3, 1.20.1, Forge, 1.20, 1.20.4"
Thermal Systeams,693382,6003506,systeams-1.20.1-1.8.2.jar,ChiefArug,"Addon for the Thermal Series that adds Steam! Boilers, Dynamo and more!",240171,"Client, NeoForge, 1.20.1, Forge, Server"
Supplementaries Squared,838411,5930357,suppsquared-1.20-1.1.18.jar,"plantspookable, MehVahdJukaar",The extra content of Supplementaries that doesn't necessarily fit in the base mod!,888753,"1.20.1, Forge"
Block Runner [Forge & Fabric],442842,5157020,[FORGE] [1.20.1] BlockRunner-v8.0.4,Fuzs,Encourages path building by making you run faster on certain blocks such as path blocks.,76565,"1.20.1, Forge"
World Play Time,968891,5920087,[Forge] World Play Time 1.2.3 - 1.20.1,khajiitos,Displays the world's play time in the world selection menu.,83163,"Client, 1.20.1, Forge"
Nature's Spirit,1044992,5684263,Nature's Spirit 1.6.3-1.20.1,Team_Hibiscus,A mod to overhaul the overworld :),20456256,"Fabric, Client, 1.20.1, Server, Quilt"
Bedrock Crafter,484628,5321779,Bedrock Crafter 1.3.2-MC 1.20-Forge,TheCJBrine,"""Vanilla-like"" way to craft bedrock and building blocks from it.",370584,"1.20.2, Client, 1.20.1, Forge, 1.20, Server"
CreativeTabs+,1184018,6114092,CreativeTabPlus Forge 1.1.0,JuliaHere1,Sorts creative tabs and provides a method to search!,393595,"Client, 1.20.1, Forge"
Caelus API (Forge/NeoForge),308989,5281700,caelus-forge-3.2.0+1.20.1.jar,TheIllusiveC4,A coremod and API to provide developers access to elytra flight mechanics through an entity attribute.,40125,"NeoForge, 1.20.1, Forge, 1.20"
Neat,238372,5838485,Neat-1.20.1-41-FORGE.jar,"Vazkii, Uraneptus",Minimalistic Functional Unit Frames for the modern Minecrafter,30595,"Client, 1.20.1, Forge"
Skinned Carts,351109,4612670,SkinnedCarts-1.20.1-2.0.1.jar,Mrbysco,Adds Minecarts in various skins,205462,"Client, NeoForge, 1.20.1, Forge, 1.20, Server"
Dragon Drops Elytra,302422,6186151,[Fabric/Forge/Neo] 1.20.1-3.5 | Dragon Drops Elytra,Serilum,?? A minimalistic mod that makes the Ender Dragon drop an elytra on death.,24517,"Fabric, NeoForge, 1.20.1, Forge, Quilt"
Glassential Renewed (Fabric/NeoForge),945149,6073465,glassential-renewed-forge-1.20.1-2.4.4,big_energy,Various types of glass to aid in your building. Updated to new MC.,336656,"1.20.1, Forge"
Special Drops,610711,5370841,Special Drops 1.0.0,TrueRealCursed_Warrior,Adds Special Drops to Every Mob in the Game. 70+ Unique Items,471204,"1.20.1, Forge"
Mob Armor Trims,1005441,5971218,Mob Armor Trims 2.4.4 for Forge 1.20.1,majo24,Makes mobs be able to spawn with naturally trimmed armor,177476,"1.20.1, Forge, Server"
Aurelith,1101083,6093556, [FORGE 1.20.1] Aurelith 1.4.4,Zesshou,Amethyst and gold themed resource.,207071,"1.20.1, Forge"
Faxxic's Origins,980880,5353830,Zephs origins Balanced 1.0.1,Faxxlc,I made my friends oc's as origins ,51994,"1.20.1, Forge, Server"
Water condenser,663013,5225678,watercondenser-1.20.1-1.5.0.jar,oierbravo_mc,Water generator block,54627,"Client, 1.20.1, Forge, Server"
Create: Armor Trim,1020165,5359591,create_armor_trims-1.20.1-2.0.1.jar,OrdanaryMods,Trim your armor with materials from Create.,113676,"Fabric, 1.20.1, Forge"
Client Crafting,888790,5097009,clientcrafting-1.20.1-1.8.jar,someaddon,Clientside crafting without network delay,7089,"Client, NeoForge, 1.20.1, Forge"
Konkrete [Forge/NeoForge],410295,5028413,[Forge] v1.8.0 MC 1.20-1.20.1,Keksuccino,Just another boring library mod.,625185,"1.20.1, Forge, 1.20"
Farmer's Cutting: Biomes O' Plenty,1073641,5775253,[Forge] FC: BOP 1.1.0-1.20.1,Joshcraft2002,Adds Farmer's Delight cutting recipes for Biomes O' Plenty,54965,"1.20.1, Forge, Server"
Create: Steam 'n' Rails,688231,5840017,Steam 'n' Rails 1.6.7 Forge 1.20.1,"IThundxr, slimeistdev, spottytheturtle",Adding depth to Create's rail network & steam system,9997801,"NeoForge, 1.20.1, Forge"
Bigger Trees,1013424,5317720,Bigger Trees Forge 1.20-1.0,dreams01,Modifying Minecraft trees preserving vanilla aesthetics,86596,"1.20.1, Forge"
Journey Into the Light [JITL],354673,5826323,JITL - 1.20.1 - 2.2.1,"The_SlayerMC, Foolish_Ryan","8 dimensions, over 100+ mobs, powerful weapons and armor, dungeons and much more!",93316610,"Client, 1.20.1, Forge, Server"
Radiant Gear (Fabric/Forge/Quilt),602199,6029352,radiantgear-forge-2.2.0+1.20.1.jar,TheIllusiveC4,A compatibility bridge between Curios API or Trinkets API and dynamic light mods such as Dynamic Lights and Lucent.,47170,"1.19.3, 1.19.4, 1.20.1, Forge, 1.20"
Arky's Aesthetics,1005490,6080322,Arky's Aesthetics [v1.3.2] [Forge 1.20.1].jar,Arky_Fursblack,This is vanilla style mod that adds some of vanilla style features and upgrades vanilla mechanics,6520807,"1.20.1, Forge"
Create Blue Skies Compat,860090,5203277,create_blue_skies_compat-forge-1.20.1-1.0.1.jar,celsiusqc,Adds compatibility recipes & items between Create and Blue Skies ,39135,"NeoForge, 1.20.1, Forge"
Simple Magnets,394140,5828475,Simple Magnets 1.1.12 for Forge 1.20.1,SuperMartijn642,Simple Magnets adds Magnets that pickup items around the player!,140496,"Client, 1.20.1, Forge, 1.20, Server"
bad packets,615134,4784395,[Forge] 0.4.3,badasintended,Bad Packets allows packet messaging between different modding platforms.,27919,"1.19.4, NeoForge, 1.20.1, Forge, 1.20"
Valhelsia Structures,347488,5195707,[Forge] Valhelsia Structures - 1.1.2,"ValhelsiaTeam, Khytwel",Adds new structures and dungeons to your world while being properly integrated.,2569623,"Client, 1.20.1, Forge, Server"
Loot Beams: Refork,1150640,6115948,Loot Beams Refork-forge-1.20.1-2.5.11.jar,Clefal15,"Loot items, guided by light!",509229,"Client, 1.20.1, Forge"
Bark O' Plenty,940244,4879922,BarkOPlenty_1.20.1_1.0.0.jar,BlackDragonFire,Bark O' Plenty drops bark from Biomes O' Plenty trees when they are debarked.,50863,"1.20.1, Forge"
Simply Pots,1142970,5992779,simply_pots 2.1.0 1.20.1 (forge).jar,Bumbila934,A mod that adds Pots randomly in your world with useful loot.,71340,"Client, 1.20.1, Forge, Server"
Apoli (Forge),975561,5404008,apoli-forge-1.20.1-2.9.0.8.jar,Mikul,A standalone library mod for 3rd party Origins addons,1469519,"NeoForge, 1.20.1, Forge"
Upgraded Core,566700,5691904,Upgraded Core - 1.20.1-5.0.0.2-release,Rolfmao,Contains the shared code to use in my other mods.,42011,"Client, NeoForge, 1.20.1, Forge, Server"
Just Enough Resources (JER),240630,5057220,JustEnoughResources-1.20.1-1.4.0.247.jar,way2muchnoise,"A JEI addon that adds mob drops, ore gen, ..",276231,"1.20.1, Forge"
FerriteCore ((Neo)Forge),429235,4810975,ferritecore-6.0.1-forge.jar,malte0811,Memory usage optimizations,123034,"Client, NeoForge, 1.20.1, Forge, 1.20, Server"
Ocean'sˇDelight,841262,4652060,oceansdelight-1.0.2-1.20,scouter567,Ocean'sˇDelightˇis an addon mod forˇFarmer's Delightˇbased around adding culinary content to the ocean!ˇˇ,90353,"1.20.1, Forge, 1.20"
Traders in Disguise - The Illager Assassin Project,947359,5363047,Traders in Disguise 1.7 for 1.20.1,TheDarkPeasant,Deadly Illager assassins disguised as wandering traders,818894,"NeoForge, 1.20.1, Forge"
Gardens of the Dead,683174,4784269,gardens-of-the-dead-forge-4.0.1.jar,ochotonida,Adds new spooky biomes to the Nether,11868212,"1.20.1, Forge"
Quark Trade,1142861,6111620,quarktrade-1.0.3-1.20.1,Project_Count, Adds Quark items to vanilla trader offers.,10379,"Client, 1.20.1, Forge, Server"
Iron Furnaces,237664,5159498,ironfurnaces-1.20.1-4.1.6.jar,"XenoMustache, pizzaatime","Inspired by cpw's Iron Chests, this mod introduces a variety of new furnaces to the game.",609038,"Client, 1.20.1, Forge, Server"
Create: Tweaked Controllers,898849,5206625,1.20.1 Version 1.2.4,getItemFromBlock,A Create mod Addon that adds a way of controlling contraptions using an advanced controller.,298383,"Client, 1.20.1, Forge, Server"
Farmer's Cutting: Oh The Biomes We've Gone,1094819,5682379,[Forge] FC: BWG 1.0.0-1.20.1,Joshcraft2002,Adds Farmer's Delight cutting recipes for Oh The Biomes We've Gone,89558,"NeoForge, 1.20.1, Forge, Server"
Functional Gregtech Drawers,1012779,5319777,Gregtech Drawers 1.1,Pansmith,Adds Gregtech Functional Drawers,76842,"Client, 1.20.1, Forge, Server"
Draconic Additions,314515,6144499,Draconic-Additions-1.20.1-2.4.1.5-universal.jar,FoxMcloud5655,Adds various DE items to help with your mid-game and post-end-game without being OP.  Fully configurable.,1017840,"Client, NeoForge, 1.20.1, Forge, Server"
Integrated API,817709,5241489,integrated_api-1.5.1+1.20.1-forge.jar,CraisinLord,The library mod for the Integrated Structures series,683711,"Client, NeoForge, 1.20.1, Forge, Server"
Quark Oddities,301051,5070502,QuarkOddities-1.20.1.jar,Vazkii,An addon to Quark containing thoughtfully designed features for players to build around,915,"Client, 1.20.1, Forge, Server"
Tax' Castle Pillager,879828,5090963,Tax' Castle Pillager 1.0.1,Taknax,Castle Pillager is a Minecraft Forge modification aims to add castles with pillagers.,467588,"Client, 1.20.1, Forge, Server"
Medival Starter Hut,1127975,5844794,medival_starter_hut-1.0.0-forge-1.20.1.jar,K3lpyG,adds a small medival style starter hut in then woods,18585,"Client, 1.20.1, Forge, Server"
Goety - The Dark Arts,586095,6054637,Goety - 2.5.28.3,Polarice3,Perform necromancy and dark rituals using the power of souls. Highly configurable.,49097631,"NeoForge, 1.20.1, Forge"
Smelting Sand in a Blast Furnace [Fabric/Forge/NeoForge],451602,6126995,blastingsand-forge-1.20.1-12.jar,Mars,As the name says,189169,"NeoForge, 1.20.1, Forge, 1.20, Server"
