// Compost colors for decocraft. You may add your own colors, change existing ones, or remove colors that aren't needed.
adventsljusstake_blue_flipbook.00, #809794
couch_edge_white, #ffffff
couch_edge_yellow, #fff541
couch_left_black, #333333
couch_left_blue, #4d62c8
couch_left_cream, #ffedda
couch_left_cyan, #32c5e3
couch_left_dark_gray, #737373
couch_left_gray, #d9dee1
couch_left_green, #466f36
couch_left_leather_black, #232323
couch_left_leather_brown, #a45b30
couch_left_light_blue, #86bbff
couch_left_lime, #73be30
couch_left_magenta, #f44ab4
couch_left_ocean_blue, #8ebfc0
couch_left_orange, #ffa83d
couch_left_pink, #ffd3da
couch_left_purple, #9b4af0
couch_left_red, #b53333
couch_left_white, #ffffff
couch_left_yellow, #ffea3d
couch_middle_black, #343434
couch_middle_blue, #4e64c9
couch_middle_cream, #fff0dd
couch_middle_cyan, #32c6e6
couch_middle_dark_gray, #757575
couch_middle_gray, #dce1e3
couch_middle_green, #477037
couch_middle_leather_black, #252323
couch_middle_leather_brown, #a55b30
couch_middle_light_blue, #87beff
couch_middle_lime, #75c030
couch_middle_magenta, #f74bb6
couch_middle_ocean_blue, #90c2c2
couch_middle_orange, #ffaa3d
couch_middle_pink, #ffd4dd
couch_middle_purple, #9d4af2
couch_middle_red, #b83334
couch_middle_white, #ffffff
couch_middle_yellow, #ffed3d
couch_right_black, #343434
couch_right_blue, #4e62c9
couch_right_cream, #ffedda
couch_right_cyan, #32c5e4
couch_right_dark_gray, #757575
couch_right_gray, #dae0e1
couch_right_green, #477037
couch_right_leather_black, #252525
couch_right_leather_brown, #a75b32
couch_right_light_blue, #86bcff
couch_right_lime, #75bf30
couch_right_magenta, #f54bb5
couch_right_ocean_blue, #90c0c0
couch_right_orange, #ffaa3d
couch_right_pink, #ffd3da
couch_right_purple, #9b4af1
couch_right_red, #b63334
couch_right_white, #ffffff
couch_right_yellow, #ffeb3d
crayon_box, #aca14a
crib_birch, #fbe4c6
crib_black, #444347
crib_oak, #d4b58c
crib_palm, #d0c5b8
crib_spruce, #8a6650
crib_white, #fffffe
croatia, #935161
crt_tv, #282828
crystal_ball, #f0a8b5
cuba, #7c4461
cuckoo_clock, #8c4e32
cupcake_bone, #948a80
cupcake_candy_corn, #c8ac7f
cupcake_eye, #b69386
cupcake_gravestone, #969782
cupcake_witch, #978489
curacao, #4e3764
curved_floor_lamp_black, #949696
curved_floor_lamp_gold, #eacd89
curved_floor_lamp_rose_gold, #eec5a4
curved_floor_lamp_silver, #cdcdc9
cyprus, #bea786
czechia, #a46168
dartboard, #7c706c
day_bed_black_black, #646c73
day_bed_black_blue, #6673a2
day_bed_black_cyan, #7ab8bc
day_bed_black_gray, #7c868d
day_bed_black_green, #6e896c
day_bed_black_light_blue, #79abc3
day_bed_black_light_gray, #9da1a8
day_bed_black_lime, #9bb680
day_bed_black_magenta, #ae84ae
day_bed_black_orange, #b48e70
day_bed_black_pink, #bea1aa
day_bed_black_purple, #907dbc
day_bed_black_red, #ae7276
day_bed_black_white, #b9bec3
day_bed_black_yellow, #c2b682
day_bed_gold_black, #ae9d68
day_bed_gold_blue, #b2a497
day_bed_gold_cyan, #c6e8b1
day_bed_gold_gray, #c8b682
day_bed_gold_green, #b8bb61
day_bed_gold_light_blue, #c3ddb8
day_bed_gold_light_gray, #e7d39d
day_bed_gold_lime, #e6e775
day_bed_gold_magenta, #fab5a2
day_bed_gold_orange, #fec065
day_bed_gold_pink, #ffd39e
day_bed_gold_purple, #daaeb1
day_bed_gold_red, #f8a26b
day_bed_gold_white, #ffeeb8
day_bed_gold_yellow, #ffe776
day_bed_silver_black, #969da1
day_bed_silver_blue, #98a4cf
day_bed_silver_cyan, #ace8ea
day_bed_silver_gray, #aeb6bb
day_bed_silver_green, #a0b99a
day_bed_silver_light_blue, #abddf1
day_bed_silver_light_gray, #cdd3d6
day_bed_silver_lime, #cce7ac
day_bed_silver_magenta, #e0b5dc
day_bed_silver_orange, #e6c09d
day_bed_silver_pink, #eed2d7
day_bed_silver_purple, #c2aee8
day_bed_silver_red, #dea2a4
day_bed_silver_white, #ebeef0
day_bed_silver_yellow, #f4e7af
decobench, #7d6c5f
decomposer, #655550
deer_lights_buck_flipbook.00, #6e6c65
deer_lights_doe_flipbook.00, #736562
deer_lights_fawn_flipbook.00, #75726c
defibrilator, #908aab
demiboy, #7c827f
demigirl, #8a787d
demisexual, #7c627c
democratic_republic_of_the_congo, #706e6b
denmark, #b84850
desk_easel, #aa845e
desk_easel_canvas, #ffffff
desk_easel_painted, #f5ddc6
desk_fan_black, #9ba2a5
desk_fan_blue, #c2d3dd
desk_fan_cream, #d3d7d7
desk_fan_mint, #b6d7d7
desk_fan_pink, #d0cad2
desk_fan_red, #c2a0a4
desk_fan_silver, #c3cacd
diner_chair_black, #79797d
diner_chair_blue, #8c98da
diner_chair_cyan, #89e1e3
diner_chair_gray, #9a9ba0
diner_chair_green, #a1b66c
diner_chair_light_blue, #83caed
diner_chair_light_gray, #c6c6c3
diner_chair_lime, #c3ee8a
diner_chair_magenta, #e39be4
diner_chair_orange, #ffbf87
diner_chair_pink, #ffb5b8
diner_chair_purple, #c99ef4
diner_chair_red, #fb8e8e
diner_chair_yellow, #ffed87
diner_condiments, #a2704a
diner_counter_black, #4d4e52
diner_counter_blue, #5e6cac
diner_counter_corner_black, #4d4d51
diner_counter_corner_blue, #5c68a4
diner_counter_corner_cyan, #58abac
diner_counter_corner_gray, #696e70
diner_counter_corner_green, #517544
diner_counter_corner_light_blue, #5496b5
diner_counter_corner_light_gray, #909190
diner_counter_corner_lime, #8eb65c
diner_counter_corner_magenta, #aa6bae
diner_counter_corner_orange, #d08d5a
diner_counter_corner_pink, #c68284
diner_counter_corner_purple, #936ebb
diner_counter_corner_red, #c06161
diner_counter_corner_yellow, #d0b65b
diner_counter_cyan, #5bb4b5
diner_counter_edge_black, #4d4d52
diner_counter_edge_blue, #5e6baa
diner_counter_edge_cyan, #5ab1b2
diner_counter_edge_gray, #6c6f73
diner_counter_edge_green, #517844
diner_counter_edge_light_blue, #549abc
diner_counter_edge_light_gray, #949694
diner_counter_edge_lime, #93bc5e
diner_counter_edge_magenta, #af6eb2
diner_counter_edge_orange, #d7905b
diner_counter_edge_pink, #cc8687
diner_counter_edge_purple, #976fc0
diner_counter_edge_red, #c66261
diner_counter_edge_yellow, #d7bb5a
diner_counter_gray, #6e7075
diner_counter_green, #527946
diner_counter_light_blue, #559dbf
diner_counter_light_gray, #969897
diner_counter_lime, #94c05e
diner_counter_magenta, #b26fb6
diner_counter_orange, #dc935c
diner_counter_pink, #d0878a
diner_counter_purple, #9a70c5
diner_counter_red, #c96262
diner_counter_yellow, #dcbf5b
diner_seat_double_black, #737276
diner_seat_double_blue, #8693dc
diner_seat_double_cyan, #82e4e4
diner_seat_double_gray, #96979b
diner_seat_double_green, #9bb462
diner_seat_double_light_blue, #7cc9f0
diner_seat_double_light_gray, #c6c5c3
diner_seat_double_lime, #c3f183
diner_seat_double_magenta, #e796e7
diner_seat_double_orange, #ffbe80
diner_seat_double_pink, #ffb4b5
diner_seat_double_purple, #ca98f8
diner_seat_double_red, #ff8989
diner_seat_double_yellow, #fff180
diner_stool_black, #8c8d91
diner_stool_blue, #96a0d0
diner_stool_cyan, #93d4d6
diner_stool_gray, #a1a4a8
diner_stool_green, #a5b682
diner_stool_light_blue, #8ec3de
diner_stool_light_gray, #bfc2c0
diner_stool_lime, #bede96
diner_stool_magenta, #d3a1d7
diner_stool_orange, #f2bc94
diner_stool_pink, #eab4b6
diner_stool_purple, #c0a4e1
diner_stool_red, #e6989a
diner_stool_yellow, #f2dd94
diner_table_black, #83848a
diner_table_blue, #93a4ee
diner_table_cyan, #8ef7f7
diner_table_gray, #a4a8ae
diner_table_green, #abc672
diner_table_light_blue, #89dcff
diner_table_light_gray, #d4d7d4
diner_table_lime, #d2ff93
diner_table_magenta, #f5a5fa
diner_table_orange, #ffcf90
diner_table_pink, #ffc3c6
diner_table_purple, #d9a8ff
diner_table_red, #ff9898
diner_table_round_black, #828387
diner_table_round_blue, #91a1eb
diner_table_round_cyan, #8df4f4
diner_table_round_gray, #a2a7ab
diner_table_round_green, #aac370
diner_table_round_light_blue, #87d9ff
diner_table_round_light_gray, #d2d4d3
diner_table_round_lime, #d0ff91
diner_table_round_magenta, #f2a4f7
diner_table_round_orange, #ffcc8e
diner_table_round_pink, #ffc0c3
diner_table_round_purple, #d6a7ff
diner_table_round_red, #ff9696
diner_table_round_yellow, #ffff8e
diner_table_yellow, #ffff90
dirt_corner, #86684a
dirt_side, #846648
dish_rack_blw, #828686
dish_rack_bw, #d0cdc6
dish_rack_dw, #9a948e
dish_rack_lw, #c3b9a8
dish_rack_mw, #b2a797
dish_rack_ww, #ebf1f0
dishwasher, #c2c6c8
diving_board, #ffffff
djibouti, #789d82
dog_house, #bf827d
dollhouse, #aab5bb
dominica, #585146
dominican_republic, #8d4b61
doorbell_white, #ffffff
double_bed_birch_black, #aea89d
double_bed_birch_blue, #b9b9c6
double_bed_birch_brown, #c2af9d
double_bed_birch_cyan, #c0d0c8
double_bed_birch_gray, #c0b9ac
double_bed_birch_green, #c5d3a5
double_bed_birch_light_blue, #d9e7f5
double_bed_birch_light_gray, #fffbed
double_bed_birch_lime, #e4eda7
double_bed_birch_magenta, #fbbcd0
double_bed_birch_orange, #ffe4ae
double_bed_birch_pink, #ffd3cc
double_bed_birch_purple, #debff1
double_bed_birch_red, #e3b2a5
double_bed_birch_white, #fffffe
double_bed_birch_yellow, #ffffc0
double_bed_black_black, #585b5e
double_bed_black_blue, #656e89
double_bed_black_brown, #6c645e
double_bed_black_cyan, #6b848a
double_bed_black_gray, #6b6c6f
double_bed_black_green, #6f8768
double_bed_black_light_blue, #839bb8
double_bed_black_light_gray, #aaaeae
double_bed_black_lime, #8ea069
double_bed_black_magenta, #a56f93
double_bed_black_orange, #c69870
double_bed_black_pink, #b2868e
double_bed_black_purple, #8a73b4
double_bed_black_red, #8d6668
double_bed_black_white, #bcbec0
double_bed_black_yellow, #cdb883
double_bed_oak_black, #9d9182
double_bed_oak_blue, #a8a2ab
double_bed_oak_brown, #b19882
double_bed_oak_cyan, #afb9ae
double_bed_oak_gray, #afa291
double_bed_oak_green, #b4bc8a
double_bed_oak_light_blue, #c8d0dc
double_bed_oak_light_gray, #eee4d2
double_bed_oak_lime, #d3d68c
double_bed_oak_magenta, #e8a5b6
double_bed_oak_orange, #ffcd93
double_bed_oak_pink, #f7bcb1
double_bed_oak_purple, #cda8d7
double_bed_oak_red, #d29b8c
double_bed_oak_white, #fff4e3
double_bed_oak_yellow, #ffeda7
double_bed_palm_black, #9e9a97
double_bed_palm_blue, #aaacc2
double_bed_palm_brown, #b1a198
double_bed_palm_cyan, #b1c2c3
double_bed_palm_gray, #b1aba8
double_bed_palm_green, #b5c5a1
double_bed_palm_light_blue, #c9d9f1
double_bed_palm_light_gray, #eeede8
double_bed_palm_lime, #d4dea2
double_bed_palm_magenta, #eaaecc
double_bed_palm_orange, #ffd6aa
double_bed_palm_pink, #f7c5c8
double_bed_palm_purple, #cfb1ed
double_bed_palm_red, #d2a5a1
double_bed_palm_white, #fffcfa
double_bed_palm_yellow, #fff5bc
double_bed_spruce_black, #796b65
double_bed_spruce_blue, #847c8e
double_bed_spruce_brown, #8d7265
double_bed_spruce_cyan, #8c9390
double_bed_spruce_gray, #8c7c75
double_bed_spruce_green, #90966e
double_bed_spruce_light_blue, #a4aabe
double_bed_spruce_light_gray, #cabeb5
double_bed_spruce_lime, #afaf6f
double_bed_spruce_magenta, #c67f98
double_bed_spruce_orange, #e7a776
double_bed_spruce_pink, #d39694
double_bed_spruce_purple, #aa82b9
double_bed_spruce_red, #ae766e
double_bed_spruce_white, #ddcdc6
double_bed_spruce_yellow, #eec689
double_bed_white_black, #b2b4b5
double_bed_white_blue, #bec6de
double_bed_white_brown, #c6bcb5
double_bed_white_cyan, #c5dce1
double_bed_white_gray, #c5c5c5
double_bed_white_green, #c9debe
double_bed_white_light_blue, #ddf4ff
double_bed_white_light_gray, #ffffff
double_bed_white_lime, #e8f8bf
double_bed_white_magenta, #fec8ea
double_bed_white_orange, #fff1c6
double_bed_white_pink, #ffdee4
double_bed_white_purple, #e3ccff
double_bed_white_red, #e7bfbf
double_bed_white_white, #ffffff
double_bed_white_yellow, #ffffda
dpop_adasusi_055, #86a55f
dpop_albens_116, #c87d87
dpop_almarod_115, #76a09d
dpop_animationspirit_099, #aa9793
dpop_arcticjr_078, #afa0b8
dpop_atarikafa_060, #cd7c82
dpop_beanxxbot_027, #979dbc
dpop_benlikessharks_124, #d47f7f
dpop_beroos_wain_041, #7c82b4
dpop_bevolj_003, #ddca8d
dpop_boxic_107, #8db1cc
dpop_bubbles_093, #a8c9d0
dpop_bulletphase_004, #8786b8
dpop_canadiancreep_071, #d7bcd7
dpop_carrieexmachina_019, #a7c2a4
dpop_cartoonz_yt_089, #c3666f
dpop_chestboy_062, #86a5a1
dpop_chjees_011, #ebcd89
dpop_clau5_138, #a79b98
dpop_coffee2002_006, #a46eb8
dpop_convict999_034, #a0bba7
dpop_cottonballer_051, #a49a94
dpop_crueldog_048, #a0b270
dpop_cymosa_057, #e1b269
dpop_damolition_121, #9ab46f
dpop_danny_nl_074, #cdab5c
dpop_davexx100_029, #beb6a8
dpop_daycarn_023, #8d8cb6
dpop_deadsquirrel_090, #e79e75
dpop_denkisimps4skit_130, #e07383
dpop_donald108_040, #5c945e
dpop_dreamrealms_118, #c3b475
dpop_duskmoon_013, #6e948c
dpop_dusty21134_079, #9eb16f
dpop_estranged42_063, #c6906e
dpop_eyuphanmandiraci_126, #b4aa9b
dpop_fergcraft_008, #bb8964
dpop_flex_103, #afbe9e
dpop_flossy_084, #9868b2
dpop_foxingtonfox_036, #bec37c
dpop_freyjadono_080, #75a26e
dpop_funnkles_122, #6bb1e6
dpop_gellegbs_018, #78a0bb
dpop_gennaln_022, #eabfc2
dpop_girafi_002, #a1c0ca
dpop_gold172_059, #bbaa66
dpop_gorillaphent_092, #aa79c3
dpop_h2odeliriousyt_088, #89b1d3
dpop_haggle1996_017, #b4c37c
dpop_hazardrar_050, #7da873
dpop_hazzar_039, #9a8987
dpop_hugstoall_082, #b475b8
dpop_hulkbr_096, #6fa76c
dpop_iarinu_tatsu_031, #a080ae
dpop_jakimfett_015, #7da49a
dpop_jewelzdevone_075, #b8ccb8
dpop_jigarbov_131, #a0bb7c
dpop_jikanusagi_058, #e6c0cf
dpop_johnny215_069, #bbb586
dpop_judgegrimm_014, #ddca90
dpop_justjakl_095, #c38ac0
dpop_karmagick_081, #8e82ab
dpop_kittycarrot2505_064, #ebd3e4
dpop_kulfonek_129, #ab9e97
dpop_latvianmodder_025, #8aaca1
dpop_lividcoffee_028, #b98acd
dpop_ltwind_066, #98bbd0
dpop_lunathewoffle_101, #ded6ea
dpop_masterrose88_068, #cc9e76
dpop_mcenderdragon_076, #8286b9
dpop_meepmeep_035, #ead690
dpop_mikanpachi_037, #b8896e
dpop_mimi_127, #f194af
dpop_mimichu_135, #bfabbe
dpop_minguado_098, #cc757c
dpop_mistysugarpup_043, #c0ae73
dpop_mlgmagichoodini_119, #8cafa7
dpop_momibelle_053, #d2a2b1
dpop_momoko_125, #c87984
dpop_oddles_049, #a1b298
dpop_ohmwrecker_091, #7ca8a7
dpop_omar_tuareg_132, #bc96a1
dpop_onyxdarkknight_024, #908e90
dpop_openkerley_026, #a59e98
dpop_paigeyp0p_140, #d2c086
dpop_panedwards_137, #73a8cd
dpop_papilaw_108, #72a09e
dpop_phiidelity_106, #c99eac
dpop_princekross_109, #9097cc
dpop_profmobius_001, #a7aada
dpop_prosidu_097, #83a7c8
dpop_purplehel_067, #a872ca
dpop_queensis_073, #eebfbb
dpop_quixy_077, #c37372
dpop_radicalrainbow_123, #b589de
dpop_ralnick_117, #97b469
dpop_razz_000, #d976a4
dpop_rckymtnrfc_007, #cd8087
dpop_redracc_136, #c97a89
dpop_reeseriverson_100, #7c82bf
dpop_revstrom_005, #c58e6b
dpop_rojo_042, #c66f75
dpop_rowan_134, #b5bccf
dpop_ryan_111, #b4a065
dpop_saice_009, #8cb5b5
dpop_sarsum33_047, #aca8a7
dpop_scottradish_070, #a1b8a7
dpop_seriiiously_021, #78a46b
dpop_silvio_102, #8cac75
dpop_sirbonycus_087, #96ab5b
dpop_sirsammyi_054, #83a7c0
dpop_skuli_033, #769dbb
dpop_sora_zealon_065, #c2deca
dpop_sotmead_072, #869d93
dpop_splixx_104, #93bc6c
dpop_stacyplays_056, #8d8db9
dpop_strange_penguin_046, #73a4a7
dpop_tacoredneck_113, #729da8
dpop_taelnia_010, #ac72b6
dpop_technopearl_120, #8383a5
dpop_texaswriter_083, #7aa573
dpop_thatdesiree_052, #8eaeb1
dpop_theanonghoul_133, #d4bfd3
dpop_thecodymaverick_086, #9096c3
dpop_thecreeper2007_094, #de7c75
dpop_thegreatorator_044, #e0ae94
dpop_thejays_032, #c6936f
dpop_therealm18_112, #ca797a
dpop_thesinicanempire_139, #aa9e93
dpop_tilera_105, #5f90a5
dpop_tmzasz_016, #94a8ac
dpop_trustinlies_030, #ca6c68
dpop_tschipp_110, #d9a27a
dpop_tuglowz_045, #78a29a
dpop_viesis_038, #be6e73
dpop_vincent_128, #d09875
dpop_woofie_114, #9aa4e1
dpop_writeescape_085, #c09172
dpop_xaw4_012, #8caf75
dpop_zachary_qiun_061, #a78382
dpop_zerokazuma_020, #b173bf
dream_catcher, #d2b69d
drum_set_black, #a2a7a4
drum_set_blue, #afb9d3
drum_set_cyan, #a0e1e3
drum_set_light_blue, #c3d9e7
drum_set_lime, #bfd7ae
drum_set_magenta, #deb4cd
drum_set_orange, #eaccae
drum_set_pink, #e4ccd3
drum_set_purple, #c2b2d3
drum_set_red, #d0a8aa
drum_set_white, #e6e7e3
drum_set_yellow, #eaddae
dryer, #f7f7f7
drying_rack_black, #8c9091
drying_rack_silver, #b8bcbe
dumbell_rack, #333333
dump_truck, #76a47c
dumpster, #253969
easel, #b28e65
easel_canvas, #ffffff
east_timor, #9a2f34
easter_basket_pink, #ffedbf
easter_basket_white, #dcf7e8
easter_basket_yellow, #e6c089
easter_island, #c29782
ecuador, #a05c4b
egypt, #8e5150
electric_guitar_black, #a29887
electric_guitar_blue, #a7a2b8
electric_guitar_cyan, #93cdc8
electric_guitar_light_blue, #c2ccd4
electric_guitar_lime, #bccf8d
electric_guitar_magenta, #e8a0b8
electric_guitar_orange, #fbc893
electric_guitar_pink, #f8c9c8
electric_guitar_purple, #c9a5c9
electric_guitar_red, #ca9080
electric_guitar_yellow, #fbde94
empire_strikes_back, #7d98a4
england, #c08c7a
envelopes, #fff1cf
equatorial_guinea, #7f6c5f
eritrea, #82514e
estonia, #62515f
eswatini, #7f5752
et, #6489ac
ethiopia, #86644b
fairy_lights_bats, #5e5750
fairy_lights_clovers, #b9c364
fairy_lights_clownfish, #c3ae9a
fairy_lights_ghosts, #ebe1d7
fairy_lights_hearts_pink, #f8acbc
fairy_lights_hearts_red, #be6c62
fairy_lights_hearts_red_pink, #d68787
fairy_lights_hearts_white_pink, #f8cfd0
fairy_lights_hearts_white_red, #d6a096
fairy_lights_ocean, #decdb9
fairy_lights_pufferfish, #cac6be
fairy_lights_pumpkins, #d38e51
fairy_lights_seahorse, #d4c9bc
falkland_islands, #574068
fargo, #fff8f8
farming, #5a442f
faroe_islands, #a07670
federated_states_of_micronesia, #649a97
fiji, #6f878a
filing_cabinet_birch, #e6d2b1
filing_cabinet_black, #2f2f2f
filing_cabinet_cherry, #fedcdc
filing_cabinet_ebony, #3d3633
filing_cabinet_oak, #bb9a72
filing_cabinet_palm, #beaea1
filing_cabinet_spruce, #704d3a
filing_cabinet_white, #edeae8
finland, #937f82
fish_tank, #5e8e9a
fishery, #524132
fishing_net, #c9c0a5
fletcher, #523e2d
floor_lamp_black, #a8a8a7
floor_lamp_gold, #fbde9b
floor_lamp_rose_gold, #fed4b5
floor_lamp_silver, #deded9
floor_mixer_black, #4d5561
floor_mixer_gold, #fcc847
floor_mixer_rosegold, #ffb27d
floor_mixer_silver, #c0c8cc
flower_shop, #54402d
foosball_table, #9a8c62
france, #985765
french_polynesia, #b96665
fridge_large, #acb1b2
fridge_small_black, #2d2d2d
fridge_small_blue, #b9ddf5
fridge_small_cream, #f4eae0
fridge_small_mint, #b1d9d7
fridge_small_pink, #eebfcf
fridge_small_red, #b82629
fridge_small_silver, #c0c0c0
fruit_bowl, #b99366
fruit_cart, #e7c09e
furniture_shop, #58442f
gabon, #72825e
gambia, #7a5257
gameboy, #e7e6d7
gaming_chair_black, #36373d
gaming_chair_blue, #435284
gaming_chair_cyan, #268391
gaming_chair_gray, #50575f
gaming_chair_green, #345039
gaming_chair_light_blue, #5e80a1
gaming_chair_light_gray, #6f7379
gaming_chair_lime, #5a7d50
gaming_chair_magenta, #864a7c
gaming_chair_orange, #9b6f51
gaming_chair_pink, #8e6c83
gaming_chair_pink_white, #ffddeb
gaming_chair_purple, #614b8a
gaming_chair_red, #733a48
gaming_chair_violet_white, #eadcff
gaming_chair_white, #909398
gaming_chair_yellow, #9b8754
gay, #5c6f78
genderfluid, #7f517c
general_store, #58442d
georgia, #be7c6e
germany, #894034
ghana, #8c5440
ghostbusters, #644647
gibraltar, #be786c
gingerbread_house, #f2d3b8
globe, #808e8d
globe_antique, #bc8d41
grandfather_clock, #8c6b3c
greece, #7f8983
greenland, #bc6c66
grenada, #905141
grill, #5e5757
guam, #612f5b
guatemala, #738c89
guernesey, #c0846f
guinea, #906646
guinea_bissau, #936644
gumball_machine, #ac6164
gumball_machine_tall, #834e51
guyana, #847a58
gym_bench, #404040
haiti, #792c50
halfmoonbars, #d9bb3d
hammock_rainbow, #b6aa97
hammock_white, #fceedd
hand_towel_bar_black, #ede8de
hand_towel_bar_gold, #fff8da
hand_towel_bar_rose_gold, #fff5e1
hand_towel_bar_silver, #fcf8ed
hanging_bat, #696158
hanging_lamp_1_black, #989a9a
hanging_lamp_1_gold, #edd48c
hanging_lamp_1_rose_gold, #f1cca8
hanging_lamp_1_silver, #d2d3cf
hanging_lamp_2_black, #b1b1ae
hanging_lamp_2_gold, #f4dea2
hanging_lamp_2_rose_gold, #f8d7b9
hanging_lamp_2_silver, #deddd7
hanging_lamp_3_black, #bebbb5
hanging_lamp_3_gold, #ebdcae
hanging_lamp_3_rose_gold, #eed6be
hanging_lamp_3_silver, #dddad2
happy_easter, #fce6cc
happy_halloween, #8e4b58
happy_hanukkah, #8998c5
happy_spring, #fce6cc
hay_bed, #dec9ae
headstone_1, #8d8d8d
headstone_1_dark, #484140
headstone_1_mossy, #3e5234
headstone_2, #6f6f6f
headstone_2_dark, #3e3a39
headstone_2_mossy, #323e28
headstone_3, #767676
headstone_3_dark, #4b4343
headstone_3_mossy, #364426
headstone_4, #7a7a7a
headstone_4_dark, #464141
headstone_4_mossy, #374630
headstone_5, #787878
headstone_5_dark, #4e4341
headstone_5_mossy, #2f3d23
headstone_6, #8c8c8c
headstone_6_dark, #433c3c
headstone_6_mossy, #374a30
headstone_7, #909090
headstone_7_dark, #4e4444
headstone_7_mossy, #46553c
help_us, #980000
hibachi_grill, #94847a
honduras, #615e6c
honey, #5f462a
honey_pot, #b1792c
hong_kong, #b4303e
hopscotch, #ffffff
hot_dog_cart, #d09e9e
hungary, #977062
ice_cream_cart, #c2c6ea
iceland, #7d4862
india, #937f5e
indonesia, #bc6664
inflatable_pool, #cfc5d7
ingot_pile_copper, #ffc586
ingot_pile_gold, #fffe20
ingot_pile_iron, #bebebe
ingot_pile_netherite, #5f555a
ingot_pile_silver, #fcfcfc
inn, #544332
intersex, #be7a48
iran, #947261
iraq, #865050
ireland, #a18d61
ironing_board, #ffffff
isle_of_man, #b42d3d
israel, #937d82
italy, #906c5e
jack_in_the_box, #c66670
jacuzzi, #c5c5c0
jail, #513e30
jamaica, #686946
japan, #c29e87
jaws, #7fb9d3
jersey, #bf8273
jeweler, #54402f
jordan, #6f4e48
jukebox, #9d8770
jurassic_park, #25110a
kazakhistan, #739686
keep_out, #844328
kenya, #664344
keyboard_black, #5e6168
keyboard_blue, #7683b6
keyboard_cyan, #5bc3cf
keyboard_light_blue, #93b4d3
keyboard_lime, #8db27c
keyboard_magenta, #bf79ac
keyboard_orange, #d0a17a
keyboard_pink, #c8a0b5
keyboard_purple, #9378b6
keyboard_red, #aa6975
keyboard_white, #c3c5c8
keyboard_yellow, #d0b97a
kiribati, #a2515b
kitchen_sink_black, #e8eaeb
kitchen_sink_gold, #fffee7
kitchen_sink_rose_gold, #fffaf1
kitchen_sink_silver, #fcfefe
knife_block, #7a654a
koinobori_children_1, #98c3ae
koinobori_children_2, #e698b9
koinobori_parents, #b28da8
koinobori_pole, #b5bec2
koinobori_top, #aa868d
kosovo, #543c64
kurdistan, #976e5b
kuwait, #755b54
kyrgyzstan, #b42c34
laos, #6b3348
laptop_black, #1f1f1f
laptop_silver, #757a7c
latvia, #7a323c
laundry_basket_rattan, #8a704e
lava_lamp_blue, #8ca4aa
lava_lamp_cyan, #8ca8a7
lava_lamp_green, #8ca29d
lava_lamp_light_blue, #91a4ab
lava_lamp_light_pink, #9da5a8
lava_lamp_lime, #93aa9b
lava_lamp_orange, #a0a29a
lava_lamp_pink, #a09ea5
lava_lamp_purple, #949da5
lava_lamp_red, #9a9a9a
lava_lamp_yellow, #a0aa98
lebanon, #af6661
lesbian, #934b58
lesotho, #686c6b
letter, #eee0bb
liberia, #ab6266
libya, #5a3d3d
liechtenstein, #6f264a
lifeguard_chair_blue, #6e84d7
lifeguard_chair_cyan, #40f2ff
lifeguard_chair_light_blue, #a5dcff
lifeguard_chair_lime, #9ad970
lifeguard_chair_magenta, #f273c8
lifeguard_chair_orange, #ffb86e
lifeguard_chair_pink, #ffb8d6
lifeguard_chair_purple, #a270d9
lifeguard_chair_red, #ca5562
lifeguard_chair_white, #ffffff
lifeguard_chair_yellow, #ffe76e
light_tree_rainbow_flipbook.00, #806e5a
light_tree_white_flipbook.00, #939389
lights_ground_edge_flipbook.00, #695f3c
lights_ground_edge_rainbow_flipbook.00, #554747
lights_ground_edge_white_flipbook.00, #6b6b65
lights_ground_flipbook.00, #796c3d
lights_ground_rainbow_flipbook.00, #5f4e4d
lights_ground_white_flipbook.00, #7a7a73
lithuania, #875a40
locker_black, #36363e
locker_blue, #526bca
locker_cyan, #12deeb
locker_gray, #6c7578
locker_green, #326c1f
locker_light_blue, #91d0ff
locker_light_gray, #b9b9b4
locker_lime, #87cc54
locker_magenta, #eb55b8
locker_orange, #ffac55
locker_pink, #fca5c8
locker_purple, #9a5cd9
locker_red, #be3343
locker_white, #fffbfa
locker_yellow, #ffde58
lounge_chair_birch, #fff2cc
lounge_chair_oak, #d6ae7d
lounge_chair_palm, #ddc9bc
lounge_chair_spruce, #86553d
lounge_chair_white, #ffffff
lumber, #52402f
lunch_box_black, #a1907a
lunch_box_blue, #a1767c
lunch_box_cyan, #98b5a2
lunch_box_gray, #a8876e
lunch_box_green, #9b7857
lunch_box_light_blue, #ab988e
lunch_box_light_gray, #b88976
lunch_box_lime, #ac8e61
lunch_box_magenta, #c57378
lunch_box_orange, #cd875a
lunch_box_pink, #bbab87
lunch_box_purple, #a29b8a
lunch_box_red, #ac9368
lunch_box_white, #c99b82
lunch_box_yellow, #cd945b
luxembourg, #a07978
macau, #3e6462
madagascar, #8d6257
madeira, #73796f
magic_shop, #513d2f
mailbox_black, #4e3a30
mailbox_blue, #574b62
mailbox_butterfly, #57706b
mailbox_cyan, #46736f
mailbox_flower, #965e5c
mailbox_light_blue, #70727d
mailbox_lime, #646933
mailbox_magenta, #90445e
mailbox_orange, #9e6137
mailbox_pink, #985c61
mailbox_purple, #693e5f
