// Compost colors for ms. You may add your own colors, change existing ones, or remove colors that aren't needed.
armor/amethyst_boots, #c897ff
tool/neridium_shovel, #5e397a
tool/neridium_sword, #370b5a
tool/netherite_bow, #555050
tool/netherite_excavator, #664e5c
tool/netherite_hammer, #5c4d51
tool/netherite_shears, #78625e
tool/netherrack_axe, #725151
tool/netherrack_excavator, #653e3d
tool/netherrack_hammer, #613736
tool/netherrack_hoe, #554848
tool/netherrack_pickaxe, #5f4a48
tool/netherrack_shovel, #6b5050
tool/netherrack_sword, #442322
tool/obsidian_axe, #686175
tool/obsidian_excavator, #6e5a89
tool/obsidian_hammer, #5b4878
tool/obsidian_hoe, #7c7883
tool/obsidian_pickaxe, #665f70
tool/obsidian_shears, #784754
tool/obsidian_shovel, #7c7387
tool/obsidian_sword, #372c4a
tool/olivine_axe, #9eab55
tool/olivine_excavator, #b1c965
tool/olivine_hammer, #acc95f
tool/olivine_hoe, #8a8a3e
tool/olivine_pickaxe, #8c9743
tool/olivine_shovel, #a0a855
tool/olivine_sword, #acd266
tool/onyx_axe, #50442d
tool/onyx_bow, #2f413d
tool/onyx_excavator, #4e4636
tool/onyx_hammer, #484134
tool/onyx_hoe, #524123
tool/onyx_pickaxe, #463922
tool/onyx_shears, #6e463d
tool/onyx_shovel, #51442c
tool/onyx_sword, #413e3a
tool/opal_axe, #b6aba5
tool/opal_excavator, #d0c8d4
tool/opal_hammer, #d4cddc
tool/opal_hoe, #a2917f
tool/opal_pickaxe, #a4a098
tool/opal_shovel, #b4b2aa
tool/opal_sword, #dad4f4
tool/platinum_axe, #eacd7f
tool/platinum_excavator, #fff2be
tool/platinum_hammer, #f2e6c2
tool/platinum_hoe, #f8d061
tool/platinum_pickaxe, #ddbf6c
tool/platinum_shovel, #fffac0
tool/platinum_sword, #bcb8ab
tool/prismarine_axe, #9daf90
tool/prismarine_excavator, #8eb698
tool/prismarine_hammer, #8ec0a1
tool/prismarine_hoe, #867c5b
tool/prismarine_pickaxe, #93a483
tool/prismarine_shovel, #8da17f
tool/prismarine_sword, #9ebbab
tool/pyridium_axe, #895f19
tool/pyridium_excavator, #b27619
tool/pyridium_hammer, #a16e1e
tool/pyridium_hoe, #664d1e
tool/pyridium_pickaxe, #75541b
tool/pyridium_shovel, #8d6219
tool/pyridium_sword, #b17916
tool/quartz_axe, #afa08c
tool/quartz_excavator, #cab9aa
tool/quartz_hammer, #d9c8b6
tool/quartz_hoe, #8e806f
tool/quartz_pickaxe, #a19383
tool/quartz_shovel, #b5a593
tool/quartz_sword, #e1cfc0
tool/red_sandstone_axe, #a05e28
tool/red_sandstone_excavator, #b26e2a
tool/red_sandstone_hammer, #ab5f25
tool/red_sandstone_hoe, #8e5a26
tool/red_sandstone_pickaxe, #9d5b26
tool/red_sandstone_shovel, #a55e22
tool/red_sandstone_sword, #fffffc
tool/redstone_axe, #cf6666
tool/redstone_excavator, #9d2929
tool/redstone_hammer, #8c3232
tool/redstone_hoe, #ee8282
tool/redstone_pickaxe, #eb8787
tool/redstone_shovel, #e08080
tool/redstone_sword, #905555
tool/ruby_axe, #d04832
tool/ruby_excavator, #f45847
tool/ruby_hammer, #fb5043
tool/ruby_hoe, #bf5433
tool/ruby_pickaxe, #cc3a22
tool/ruby_shovel, #d9462d
tool/ruby_sword, #ff3430
tool/sandstone_axe, #c0af73
tool/sandstone_excavator, #dcc983
tool/sandstone_hammer, #f0deaf
tool/sandstone_hoe, #ae985b
tool/sandstone_pickaxe, #cab670
tool/sandstone_shovel, #ffffff
tool/sandstone_sword, #ffffff
tool/sapphire_axe, #6654a7
tool/sapphire_excavator, #6954ca
tool/sapphire_hammer, #735be6
tool/sapphire_hoe, #5f4a70
tool/sapphire_pickaxe, #5b4a8d
tool/sapphire_shovel, #705f9d
tool/sapphire_sword, #5748f2
tool/scarlet_emerald_axe, #b6232c
tool/scarlet_emerald_excavator, #c82539
tool/scarlet_emerald_hammer, #bf152d
tool/scarlet_emerald_hoe, #ffffff
tool/scarlet_emerald_pickaxe, #b6252c
tool/scarlet_emerald_shovel, #b1252a
tool/scarlet_emerald_sword, #e70736
tool/silver_axe, #b4bca7
tool/silver_excavator, #d4e3d4
tool/silver_hammer, #d3e4d9
tool/silver_hoe, #9e9d7f
tool/silver_pickaxe, #aeb6a0
tool/silver_shovel, #b8bca5
tool/silver_sword, #defffc
tool/steel_axe, #765050
tool/steel_excavator, #765a5a
tool/steel_hammer, #846969
tool/steel_hoe, #7f4b4b
tool/steel_pickaxe, #76504e
tool/steel_shovel, #875c5c
tool/steel_sword, #6f6969
tool/stone_excavator, #978e7f
tool/stone_hammer, #9a9384
tool/stone_shears, #898280
tool/tanzanite_axe, #785f9b
tool/tanzanite_excavator, #7550af
tool/tanzanite_hammer, #825cbe
tool/tanzanite_hoe, #6b5778
tool/tanzanite_pickaxe, #614a84
tool/tanzanite_shovel, #755b96
tool/tanzanite_sword, #615097
tool/tin_axe, #d3cfb8
tool/tin_excavator, #e4e0d0
tool/tin_hammer, #f0f1e1
tool/tin_hoe, #aea180
tool/tin_pickaxe, #c6bea5
tool/tin_shovel, #ffffff
tool/tin_sword, #ffffff
tool/titanium_axe, #786c62
tool/titanium_excavator, #827c7c
tool/titanium_hammer, #807a7d
tool/titanium_hoe, #72624a
tool/titanium_pickaxe, #706558
tool/titanium_shovel, #7c7064
tool/titanium_sword, #787884
tool/topaz_axe, #ffffff
tool/topaz_excavator, #ffffff
tool/topaz_hammer, #ffffff
tool/topaz_hoe, #ffffff
tool/topaz_pickaxe, #ffffff
tool/topaz_shovel, #ffffff
tool/topaz_sword, #fffffb
tool/trio_axe, #ffffff
tool/trio_excavator, #627f6b
tool/trio_hammer, #708475
tool/trio_hoe, #ffffff
tool/trio_pickaxe, #ffffff
tool/trio_shovel, #ffffff
tool/trio_sword, #ffffff
tool/tungsten_axe, #8a896c
tool/tungsten_excavator, #82836e
tool/tungsten_hammer, #838670
tool/tungsten_hoe, #726644
tool/tungsten_pickaxe, #787055
tool/tungsten_shovel, #767254
tool/tungsten_sword, #767d72
tool/turquoise_axe, #70c99b
tool/turquoise_excavator, #61e0b8
tool/turquoise_hammer, #82e6c2
tool/turquoise_hoe, #4bae72
tool/turquoise_pickaxe, #3dd391
tool/turquoise_shovel, #72c697
tool/turquoise_sword, #41fff0
tool/uranium_axe, #86d355
tool/uranium_excavator, #64da3a
tool/uranium_hammer, #50cf2c
tool/uranium_hoe, #8ec575
tool/uranium_pickaxe, #73be58
tool/uranium_shovel, #8acd58
tool/uranium_sword, #51bc16
tool/violium_axe, #736fbc
tool/violium_excavator, #7d5fd9
tool/violium_hammer, #8055e0
tool/violium_hoe, #ffffff
tool/violium_pickaxe, #f1f4ff
tool/violium_shovel, #7d62f0
tool/violium_sword, #7a46e4
tool/white_opal_axe, #e0d6c8
tool/white_opal_excavator, #fffcf8
tool/white_opal_hammer, #ffffff
tool/white_opal_hoe, #c2b29a
tool/white_opal_pickaxe, #d6cfc0
tool/white_opal_shovel, #e0dac8
tool/white_opal_sword, #ffffff
tool/wooden_excavator, #805f23
tool/wooden_hammer, #72551f
tool/wooden_shears, #a17a3a
torch/black, #e7d2b4
torch/blue, #e7d2b4
torch/brown, #e7d2b4
torch/cyan, #e7d2b4
torch/green, #e7d2b4
torch/grey, #e7d2b4
torch/light_blue, #e7d2b4
torch/light_grey, #e7d2b4
torch/lime, #e7d2b4
torch/magenta, #e7d2b4
torch/orange, #e7d2b4
torch/pink, #e7d2b4
torch/purple, #e7d2b4
torch/red, #e7d2b4
torch/white, #e7d2b4
torch/yellow, #e7d2b4
