// Compost colors for eternal_tales. You may add your own colors, change existing ones, or remove colors that aren't needed.
absolute_zero, #ffffff
green_arrow_emblem, #f1f8f0
green_charge, #ffffff
green_goblin, #625c3c
green_lantern_emblem, #869186
green_tarko_armor_boots, #62af4d
green_tarko_armor_chestplate, #4ea232
green_tarko_armor_helmet, #4e9839
green_tarko_armor_leggings, #55ab3a
green_tarko_leather, #f2ffe7
growing_chest, #c6f2ca
growing_skill_down, #969476
growing_skill_up, #969476
growing_textbook, #83d970
guardian_sword, #b6abb1
guardians_of_the_galaxy_emblem, #c69daa
guitar, #fff8ea
gultrav_leather, #7f502c
haciru_power, #fffff0
half_dead_drop, #ffffff
half_dead_drop_activated, #ffffff
hallowed_cross, #f1d09b
halloween_armor_boots, #1f1c39
halloween_armor_chestplate, #3d3a57
halloween_armor_helmet, #161525
halloween_armor_leggings, #1e1b33
halloween_dagger, #62433c
halloween_spirit_item, #ff9715
hammer_of_eternity, #ebdcd2
hand_of_the_demiurge, #e7f4d3
hardware, #fffcff
harpy_ring, #ffffff
harpy_ring_blueprint, #e6d7dd
haste_potion, #c2b5ae
hawk_feather, #d7c3a2
healing_potion_et, #ff8a9e
heart_et, #ffffff
heart_of_the_elements, #ffffff
heartwood_door, #ffde82
heavy_ancienzyte_armor_boots, #685755
heavy_ancienzyte_armor_chestplate, #f8f0f0
heavy_ancienzyte_armor_helmet, #695755
heavy_ancienzyte_armor_leggings, #6c5a58
heavy_bloody_armor_boots, #3c0000
heavy_bloody_armor_chestplate, #5f1e1f
heavy_bloody_armor_helmet, #3e0000
heavy_bloody_armor_leggings, #3e0000
heavy_cobalt_armor_boots, #373a4a
heavy_cobalt_armor_chestplate, #8e9ecf
heavy_cobalt_armor_helmet, #7383b5
heavy_cobalt_armor_leggings, #6e7597
heavy_ruby_armor_boots, #80464d
heavy_ruby_armor_chestplate, #b1737a
heavy_ruby_armor_helmet, #b1626c
heavy_ruby_armor_leggings, #7c444b
heavy_sky_armor_boots, #867275
heavy_sky_armor_chestplate, #bb8264
heavy_sky_armor_helmet, #a47c65
heavy_sky_armor_leggings, #79695e
heavy_vampyre_armor_boots, #5b262c
heavy_vampyre_armor_chestplate, #834144
heavy_vampyre_armor_helmet, #4e2328
heavy_vampyre_armor_leggings, #5c2325
heavy_winter_armor_boots, #7d8987
heavy_winter_armor_chestplate, #7d8789
heavy_winter_armor_helmet, #6c7573
heavy_winter_armor_leggings, #798e8d
hell_fire, #ffd357
hellish_bars, #ffffd2
hellish_clock, #cdb2b2
hellish_iron_bars, #d6d9eb
hellish_iron_bars_red, #e1cdd3
hellish_key, #ffffff
hellish_mask_helmet, #ffffff
hellrock, #ffffff
herbal_tea, #ffffff
herbal_tea_gulibegs_blessing, #ffffff
heros_forsword, #fff4f0
hillow_sapling, #ffffff
hillow_vine, #bef0fe
hillow_vine_bottom, #ebffff
hirots_power, #ffedff
hirots_suit_boots, #ffffff
hirots_suit_chestplate, #d9ccd2
hirots_suit_helmet, #e1d9dd
hirots_suit_leggings, #fffafc
hoe_of_eternity, #483932
holy_water, #eaca98
homeless_chestplate, #bfc2ae
homeless_helmet, #ebf1e8
homeless_leggings, #c2c8bf
honey_fungus, #ffffff
hopeless_glyph, #d4948a
horizontal_builders_boots_3x_3_boots, #6e3911
hoz_de_muerte_brueprint, #acdaff
hulk_emblem, #fbfff4
humanbeast_armor_boots, #fffbfe
humanbeast_armor_chestplate, #c3b5b8
humanbeast_armor_helmet, #ebe4e0
humanbeast_armor_leggings, #faebed
hurried_pills, #ffffff
husk_armor_chestplate, #ffffe6
husk_armor_helmet, #ffffff
husk_armor_leggings, #8a8272
hyacintherite_armor_boots, #ffffff
hyacintherite_armor_chestplate, #ebf4ff
hyacintherite_armor_helmet, #ffffff
hyacintherite_armor_leggings, #ffffff
hyacinthum_armor_boots, #4a5aff
hyacinthum_armor_chestplate, #def0ff
hyacinthum_armor_helmet, #757ffe
hyacinthum_armor_leggings, #4e66ff
hyacinthum_axe, #6e84f1
hyacinthum_corrosion_staff, #ffffff
hyacinthum_corrosion_staff_blueprint, #bec2cf
hyacinthum_fishing_hook, #ffffff
hyacinthum_gold_ingot, #414edc
hyacinthum_gold_nugget, #4154d2
hyacinthum_gold_spear, #ffffff
hyacinthum_hoe, #3c57be
hyacinthum_pickaxe, #8da2ff
hyacinthum_planks_door, #cadeff
hyacinthum_shovel, #5279dc
hyacinthum_sword, #6583f4
ice_axe, #9dafd0
ice_cave_air, #9aa7b6
ice_crystal, #578486
ice_hoe, #939dac
ice_pickaxe, #9baecc
ice_shard, #ffffff
ice_shovel, #94a2bc
ice_spike, #f4ffff
ice_staff, #ffffff
ice_stalactite, #f4ffff
ice_stalagmite, #f4ffff
ice_sword, #a4ccff
ice_wand, #68e1ff
ice_wand_magic, #68e1ff
icesteroid_staff, #ffffff
ichor, #fffff1
ignis, #875e3c
ignis_blueprint, #abd9ff
ikaris_emblem, #fec5ac
ikkorh_power, #fffffb
illuminati_fish, #ffffff
incredible_tentacle_sushi, #ffffff
infected_caviar, #2a69a8
infected_caviar_sandwich, #ffffff
infected_kraken_mask_helmet, #aaabcf
infected_meat, #e4eaff
infected_nautilus_shell, #f4feff
infected_shrimp_food, #f1f4ff
infernality, #510000
inferno_rum, #ffffff
infinity_lava_busket, #dcc6b5
infinity_water_bucket, #b6c5ee
insight_pills_blindness, #ffffff
interdimensional_stone, #d4ebff
invisible_woman_emblem, #f5faff
iron_man_emblem, #f0ebeb
iron_plate, #ffffff
irrigating_core, #ffffff
isaris_bloody_gem, #fffff4
isaris_bottle, #eea13c
isaris_gem, #ffffda
jacks_scythe, #ffffff
jade, #ffffff
jaghax_charge, #ffffff
jaghax_lamp, #ffffff
jaghax_mask_helmet, #ffffff
jannat_blossom, #ffd794
jannatus_flower, #ffffff
jannatus_stem, #f1ffff
jasper, #fff5f0
jesters_sword, #fff7ff
jeweled_sword, #fffffc
journal, #9a7358
jungle_reed, #ffffe6
justice_league_emblem, #dddee0
k_og_cave_air, #afaba0
kar_cave_air, #afaba0
karst_stalactite, #bba8a0
karst_stalagmite, #bba8a0
karvat_fertilizer, #e1fabe
keybekium_axe, #292322
keybekium_hoe, #2c2a29
keybekium_ingot, #6c1f1f
keybekium_pickaxe, #292623
keybekium_shovel, #393332
keybekium_sword, #5a5251
kf_cave_air, #afaba0
kf_og_cave_air, #afaba0
khagris_door, #edbe72
khagris_moss, #ffffe3
khagris_sapling, #fffff1
khagris_sprouts, #fffff2
khartthone, #f8f0ff
khogachi_feather, #ff5b41
khogachi_mask_helmet, #ffe6e0
khogachi_throw, #ff5b41
khoirin_feather, #ffffff
khoirin_sweetness, #ffffff
khonshu_staff, #ffffff
khonshu_staff_blueprint, #fff5d7
kidding_flask, #ffffff
killers_flask, #ffffff
kingdom_of_amber, #ffffd4
kingdom_of_amber_music_disc_amberian_city_big_hole, #ffd233
kingdom_of_amber_music_disc_hillow_swamp_music_lake, #ffcf39
kingdom_of_amber_record, #ffbf2c
knight_elixir, #ffffff
kraken_bait, #ffffff
kraken_tentacle, #cfe1fa
lands_of_karvat, #fffff4
lands_of_karvat_music_disc, #806f64
lands_of_karvat_record, #91725e
lanterns_charge, #e7e8e6
lanters_emblem, #f2cfbc
lapis_plate, #c2d0f2
lapsidian_dust, #fafbff
lapsidian_ingot, #2f5be1
lapsidian_nugget, #2048c2
lapsidian_sword, #2d47ab
latimeria, #15528a
latit_stalactite, #c5c5c6
latit_stalagmite, #c5c5c6
lavafly, #ffffda
lavender_apple, #654873
leather_glove, #ffffff
leather_material, #ffffe4
leather_strips, #d7c29a
ledum, #ffffff
lenot_mischievousness, #fefffa
lenot_tail, #d0d9d4
lenotskin_cape_helmet, #3c413e
lepterinae_bottle, #d3eae7
lepterinae_item, #fffffa
let_us_tell_you_a_story_music_disc, #b98043
life_potion, #ff949a
light_blue_tea, #ffffff
light_charge, #ffffff
light_sword, #ffffff
lilly_of_the_keiskei, #ffffff
limestone_stalactite, #f2e8b4
limestone_stalagmite, #f2e8b4
liquor_darkness, #ffffff
liquor_deeps, #ffffff
liquor_sea, #ffffff
liquor_yokto, #ffffff
little_curios_eye, #ffffff
livetree_bow, #d4e3b8
livetree_spear, #ffffff
livetree_sword, #fffff5
livetreesawdust, #ffffff
loki_emblem, #fffff2
luciden_suit_boots, #ffffff
luciden_suit_chestplate, #e7ffff
luciden_suit_helmet, #ffffff
luciden_suit_leggings, #ffffff
luck_pharos, #ffffff
lunar_battle_torch, #ffffff
lunar_bloody_gem, #ffffff
lunar_campfire, #69bfa8
lunar_gem, #ffffff
lunar_ignis, #edeb93
lunar_lantern, #c9ffff
lunar_lantern_top, #c9ffff
lunar_torch, #a09b73
lunar_torch_side, #a09b73
lunarball, #f0ffff
luxtorm, #ffffff
lychee, #ffffff
lychee_door, #fffff4
lychee_sapling, #ffffff
m_cave_air, #a7a2a1
magnifying_glass, #ffffff
malachite_glass_axe, #ffffff
malachite_glass_boots, #d6e4d4
malachite_glass_chestplate, #d4dec9
malachite_glass_helmet, #f4fffe
malachite_glass_leggings, #fff8e6
malachite_glass_pickaxe, #ffffff
malachite_glass_shovel, #ffffff
malachite_glass_sword, #ffffff
malachite_hoe, #ffffff
malachite_knight_smithing_template, #b2e0ac
mandarin_orange_fruit, #ffa15c
mandarin_orange_sapling, #ffffff
mandarin_pie, #d26f16
mandrake, #11610f
maple_sapling, #ffffff
maze_key, #ffedb1
meat_feast, #aa6c33
mechanical_crossbow, #9e8c72
mechasword, #b5a03e
medieval_pills_plague, #ffffff
melanistic_gultrav_leather, #6e4728
melon_pie, #a1a264
melon_salad, #874a15
melting_sulfur, #fbffee
melting_volcanite, #be6904
metal_bug_net, #f5fbff
micro_planet_on_a_string, #ffffff
miner_pills, #ffffff
mist_pharos, #ffffff
mixcohuatls_weapon, #ffffff
mo_door, #f7d3c6
molten_bolt, #ffffff
molten_crossbow, #a48d78
molten_sword, #fff8c6
monster_blindless, #6c6c6c
monster_blindness, #141414
monster_blindness_seeds, #ffffff
monstrous_mask_helmet, #ffffff
monstrous_smithing_template, #4a3c20
moon_eye, #ffffff
moonshine, #ffffff
mortal_remains, #f2dcdc
moth_item, #8e7652
mountain_rayana_penguin_feather, #ffffff
mucunfectio_crab_claw, #65b2c3
mucunfectio_crab_meat, #9db5e7
mucunfectio_glass_panel, #b3694
mucunhorn, #faede3
mushroom_roots, #ffffff
mushroom_tea_cup, #ffffff
mushroom_terraformation_powder, #fff2e6
music_disc_skyrim, #666666
music_disc_terror_below_the_surface, #504646
music_disc_tes_6, #64625f
mutated_virus, #97ddaf
mutatongue_chowder, #805829
mystic_essence, #1bca44
mystic_flames, #ffa200
mystic_garland, #ebfff5
nailspur, #898e9b
nebulaball, #7f3a7c
neodymium_glass_pane, #c87fff
nether_chronicles, #fffbde
nether_cold_moss, #ffffff
nether_cold_moss_plant, #ffffff
nether_crystal, #ffffff
nether_fertilizer, #d7ac9b
nether_fire_moss, #ffffff
nether_fire_moss_plant, #ffffff
nether_fish, #ebd4d7
nether_ghastfly, #b8872a
nether_hammer, #fffef8
nether_hammer_active, #e76861
nether_hammer_cross, #ffffff
nether_hammer_handle, #ffffff
nether_hammer_head, #ffe4d9
nether_hell_moss, #ffffff
nether_hell_moss_plant, #ffffff
nether_pink_moss, #ffffff
nether_pink_moss_plant, #ffffff
nether_queen, #ffffff
nether_shard, #ffffff
nether_soul_moss, #ffffff
nether_soul_moss_plant, #ffffff
nether_star_plate, #ffffff
nether_upgrade_kit, #ffe8d0
netheranchum, #ffdede
netheranchum_1, #ffacab
netheranchum_2, #ffc8c8
netherbone_armor_boots, #f5f1f0
netherbone_armor_chestplate, #e1d6d4
netherbone_armor_helmet, #ede6e6
netherbone_armor_leggings, #d9cdcf
netherite_destroyer_armor_boots, #44201c
netherite_destroyer_armor_chestplate, #543023
netherite_destroyer_armor_helmet, #552016
netherite_destroyer_armor_leggings, #462623
netherite_destroyer_smithing_template, #ff7d0f
netherite_fishing_hook, #ffffff
netherite_nugget, #5b5154
netherite_plate, #d9d2cf
netherite_spear, #ffffff
netherrack_axe, #6b2525
netherrack_hoe, #702626
netherrack_pickaxe, #692525
netherrack_shovel, #702828
netherrack_sword, #612222
netherskull_sword, #ffffff
nethreceae_worm, #ffffff
nettle, #e3ffe6
new_year_sword, #e8e8d6
nightingale_armor_boots, #373737
nightingale_armor_chestplate, #555555
nightingale_armor_helmet, #757575
nightingale_armor_leggings, #3c3c3c
nizaris_smithing_template, #c6c3d7
north_pole, #d7ffff
noxifer_suit_boots, #ffffff
noxifer_suit_chestplate, #b2a2a2
noxifer_suit_helmet, #c2c0c0
noxifer_suit_leggings, #eeeeee
nutritious_pills_hunger, #ffffff
nyetet_mask_helmet, #ffffff
obsidian_plate, #bbb4b6
obsidian_stick, #ffffff
obsidian_totem, #ffffff
og_cave_air, #9ba294
old_block_adder, #54c054
old_days_heart, #ffffff
omega_charge, #ffffff
omega_staff, #fff7f7
orange_amberwood_sapling, #ffffd3
orange_dragonfl_item, #ab9b9a
orange_emblem, #ffe49a
orange_leather_material, #e39323
orange_outlands_flower, #fff700
orchid_neodymium_pottery_sherd, #c28aff
order_of_the_universe, #fff7e3
orichalcum_chthonic_armor_boots, #546232
orichalcum_chthonic_armor_chestplate, #9aaa57
orichalcum_chthonic_armor_helmet, #7c8e44
orichalcum_chthonic_armor_leggings, #647339
orichalcum_smithing_template, #73844e
ouroboros_staff, #ffffff
outlands_fern, #96d400
outlands_grass, #91ca00
oxidized_copper_sword, #ffffff
paeonia_et, #b9c3d0
pancake_from_bus_station, #ffffff
paradice_juice, #ffffff
paradise_sedge, #ffffff
penguin_armor_boots, #e6e3eb
penguin_armor_chestplate, #edebee
penguin_armor_helmet, #cccacd
penguin_armor_leggings, #f8f8fc
permafrost_icicle, #ffffff
persian_apple, #866420
petrified_door, #f8e8d4
petrified_totem, #e8f8d7
petrified_tree_sapling, #e8ffde
phantom_charge, #ffd357
phantom_soul, #f437da
phantorage, #ffe6e6
phantorange, #ffffdc
pharos, #ffffff
phase, #979ad6
pickaxe_of_eternity, #5e4832
piece_of_anniversary_cake, #ffffcf
piece_of_cake, #ffebe3
piece_of_cloud_coral, #ffe8c6
piece_of_coral, #fffbff
piece_of_geobstractsite_coral, #deffff
piece_of_gulibeg_powers, #ffffff
piece_of_immunity_power, #ffffff
piece_of_life_power, #ffffff
piece_of_magic_power, #ffffff
piece_of_strenght_power, #ebffff
piece_of_tropical_cake, #ffffff
pink_outlands_flower, #fb48bb
placeholder_enicrih_temple, #726969
plagueoil, #ffffff
plaster, #ffffff
player_level_calculate, #d7c6a2
player_level_down, #e3bb9a
player_level_up, #e4bc9b
playful_flask, #ffffff
pocket_lightning_rod, #ffffff
poisonoil, #ffffff
portable_chest, #ffffff
portable_chest_big, #f4e4ca
potequir, #ffffff
potion_of_nine_lives, #eddaae
printer_ink, #ffffff
prism_shard, #ffffff
prismarine_garland, #ffffff
prismatic_fish, #fcffff
prismatic_garland, #f7ffff
prismatic_sword, #ffffff
prisoner_smithing_template, #9ea5bf
profaned_door, #ebf0fa
profaned_garland, #feffff
profaned_iron_boots, #4e5a68
profaned_iron_chestplate, #576b70
profaned_iron_helmet, #4a5062
profaned_iron_leggings, #515b6c
profaned_mushroom, #ffffff
psithermic_ice, #ffe4ff
psithermic_ice_crystal, #ffffff
pterion_mask_helmet, #bbaeab
pumpkin_door, #fa9a1f
pure_door, #ffffff
purg_bone_wasteland_record, #625f5f
purg_dark_forest_record, #555555
purg_forest_record, #5e5454
purg_tallgrass, #afafaf
purg_wasteland_record, #545454
purgatorium, #e7d4d4
purgatorium_door, #2f2f2f
purgatorium_music_disc_taiga_walker, #585855
purgatorium_sapling_1, #ffffff
purgatorium_sapling_3, #ffffff
purgatorium_thorn, #ffffff
purgatory_cudgel, #fffffa
purgatprium_sapling_2, #ffffff
purple_cliffsblossom, #ffffff
purple_leather_material, #e04e96
purple_potion, #d4c3fb
purpur_arrow, #ffdcfa
pyro_volcanite_shard, #ffffff
pyromagica, #665b47
pyromagica_blueprint, #b5deff
pyromancer_bell, #ffffff
pyronzyte_ingot, #c5afa0
pyronzyte_nugget, #ffffff
pyronzyte_warrior_armor_boots, #d9c9c2
pyronzyte_warrior_armor_chestplate, #f2ded0
pyronzyte_warrior_armor_helmet, #fffffe
pyronzyte_warrior_armor_leggings, #dacfcd
pyronzyte_warrior_smithing_template, #896b4a
quantum_distabilizer, #cad0ca
quantum_distabilizer_blueprint, #b9e0ff
quartz_axe, #cfa497
quartz_hoe, #be877a
quartz_pickaxe, #cca094
quartz_shovel, #daaea0
quartz_sword, #ffeee0
quest_bag, #ffffff
quinine, #ffffff
quinine_nugget, #ffffff
raccoon_fur, #ffffff
raccoon_test, #ffffff
ragged_sunbloom_clothes_chestplate, #ffffff
ragged_sunbloom_clothes_leggings, #ffffff
ragged_sunfurry_clothes_chestplate, #fffed9
ragged_sunfurry_clothes_leggings, #ffffff
ragsword, #fbe6e7
rainbow_fish, #ffffff
rainbow_gun, #f0ffff
rainbow_gun_barrel, #ffffff
rainbow_gun_butt, #ffffff
rainbow_gun_charge, #daaa43
rainbow_gun_handguard, #deffff
raitoningu, #ffffff
rajiit_sword, #b5b5ae
ranged_elixir, #ffffff
ratauan, #d2b8a4
ravrite_honey_bottle, #d2eeca
ravrite_honeybrick, #b2e869
ravrite_honeycomb, #fffff0
ravrite_honeyspoon, #ffffff
ravrite_item, #ffffff
ravrite_queen_item, #ffffff
ravrite_queen_mask_helmet, #fffbe3
raw_ancienzyte, #ffffff
raw_aragotium, #fffeff
raw_basalt, #ffffff
raw_chlorine, #ffffff
raw_cobalt, #edf7ff
raw_daredian_ore, #fff4f7
raw_fotium, #ffffff
raw_quinine, #ffffff
raw_silver, #ffffff
raw_skylite, #ffffff
raw_tin, #ffffff
raw_uranium, #ffffff
rayana, #e4ffeb
rayana_fertilizer, #ace6b2
rayana_grass, #f1ffe1
rayana_music_disc_daredian_village_one_hundred_side, #4d8d46
rayana_music_disc_infinity_desert, #559d50
rayana_music_disc_mesa_gamer, #519850
rayana_music_disc_mushroom_fields_song_river, #4d9b52
rayana_music_disc_reed_grove_water_fall_rain, #489058
rayana_music_disc_tropic_mesa_shot, #48a14b
rayana_planks_door, #fffff7
rayana_quest_bag, #d6bfb2
rayana_record, #4b9154
razorflake, #ffffff
recorder_et, #706852
red_cliffsblossom, #ffffff
red_gultrav_leather, #794139
red_lightning, #fc0000
red_potion, #eabec2
red_shorgun, #ffffff
red_tarko_armor_boots, #94554b
red_tarko_armor_chestplate, #863d32
red_tarko_armor_helmet, #804137
red_tarko_armor_leggings, #8d463a
red_tarko_leather, #ffebe6
reinforced_axe, #737278
reinforced_basalt_fiber, #fffff0
reinforced_cobalt_hoe, #aba5a1
reinforced_pickaxe, #52545b
reinforced_shovel, #6c6b6f
reinforced_sword, #555a68
reinforced_sword_karvat, #ffffff
repaired_forbidden_mask_helmet, #ffffff
restored_astral, #e3c39b
restoring_pills_wither, #ffffff
return_ticket, #fffffe
reverse_flash_emblem, #cab193
revive_glyph, #bed3aa
ring_of_crimson_tears, #ffcaca
ring_of_crimson_tears_blueprint, #bcbcbc
ripped_eye, #ffffff
ripped_monstrous_arm, #ffffff
ritual_activator, #ffffff
ritual_activator_arei_spirit_summoning_blueprint, #fff7d9
ritual_activator_fault, #fff250
ritual_activator_foult_blueprint, #fff0dc
ritual_activator_luck, #fffc55
ritual_activator_luck_blueprint, #fff5e0
ritual_activator_starfall, #ffffff
ritual_activator_starfall_blueprint, #ffe8c5
ritual_knife, #ffffff
rock_blaze_mask_helmet, #fff2d9
rock_blow_bow, #87363c
rock_neodymium_pottery_sherd, #c990ff
rocket_emblem, #ffffff
rockets_gun, #fef7ff
rockflame, #ffffff
rockhopper_smithing_template, #6cc6ae
rough_agate, #cae7ff
rough_amber, #ffffc6
rough_corundum, #ffe8fc
rough_glowstone, #ffffe1
rough_ruby, #ffcccc
rough_topaz, #fffffe
rough_uranium, #e7ffee
rough_vampyre_jewel, #ffc6e4
royal_elixir, #ffffff
royal_fishing_hook, #fffcf8
royal_greatsword, #ffffff
royal_slayer, #fffbfa
royal_sphere, #ffffff
royal_star, #ffffff
royal_totem, #ffffff
ruby_archer_glove, #ffffff
ruby_bud_large, #ffdcdc
ruby_bud_medium, #fffbfb
ruby_bud_small, #ffffff
ruby_cluster, #ffc0c0
ruby_garland, #fff1f1
ruby_glass_gold_pane, #ffbb73
ruby_glass_panel, #ff9a9a
ruby_hoe, #ab6b54
ruby_record, #bf3a39
ruby_shard, #ffdada
ruby_spear, #ffffff
rubyarmor_boots, #ca5252
rubyarmor_chestplate, #fca1a1
rubyarmor_helmet, #b85151
rubyarmor_leggings, #cc5858
rubyaxe, #bc5546
rubygem, #ffd7d7
rubypickaxe, #a23626
rubyshovel, #a43c26
rubysword, #ffffff
rudolphs_bells, #fffff4
rune_bag, #645261
rune_blue_comets_cosmos_bota, #ffffff
rune_cold_berkraz, #ffffff
rune_desert_dirke, #ffffff
rune_echo, #ebfeff
rune_eden_sun_tseshayi, #ffffff
rune_end_badoneti, #ffffff
rune_forest_den, #ffffff
rune_greatness_arson, #f8f7f8
rune_karvat_god_melekoti, #fff0d6
rune_mushroom_kdmia, #ffffff
rune_nether_ftaba, #ffe4e4
rune_pink_comets_semayi, #ffffff
rune_purgatorium_dark_chelema, #dadada
rune_rayana_natura_tefetiro, #ffffff
rune_tab_all, #8a8a84
rune_warped_mezabati, #f5eeed
runic_armor_boots, #a2a293
runic_armor_chestplate, #b8b8a5
runic_armor_helmet, #878776
runic_armor_leggings, #a4a49d
runic_glyph_1, #ffffff
runic_glyph_2, #ffffff
runic_glyph_3, #ffffff
runic_glyph_4, #ffffff
runic_glyph_5, #ffffff
runic_smithing_template, #b9ab8a
ryusuke_sword, #ffffff
sack_with_the_gulibeg_reward, #ffaf08
sacred_jug, #d6b19e
sake, #ffffff
sake_angelic_hiccup, #ffffff
sake_enicrihs_help, #ffffff
sake_karst_cave, #ffffff
sal_sapling, #ffffff
salt, #ffffff
salt_beef, #a77057
salt_chicken, #ffc29b
salt_fish, #fffffc
salt_infected_meat, #f2faf7
salt_mutton, #c8653e
salt_porkchop, #ffd7a0
salt_rabbit, #deb88c
salt_shrimp, #ffffff
salty_crab_meat, #fff4c6
salty_elephant_meat, #fff5e7
salty_endacea_meat, #ccb6bb
salty_venison, #bf8c69
sandfish, #ffffc5
sandpaper, #fff8d3
santa_claus_hat_helmet, #ffffff
savitar_emblem, #ffffff
scarlet_fungus, #701b30
scarlet_fungus_door, #ebb4be
scarlet_glowsaber, #ffffff
scarlet_stew, #ffaf76
scarlet_witch_emblem, #f2cfcf
scorched_cultist_armor_boots, #ffffff
scorched_cultist_armor_chestplate, #fef2ed
scorched_cultist_armor_helmet, #fffffc
scorched_cultist_armor_leggings, #fffffc
sculk_pills, #ffffff
sea_acorn, #ffffff
sea_acorn_seeds, #ffffff
sea_chest, #ebe0ff
sea_prism, #ffffff
serum_syringe, #ffffff
shadow_bow, #aa6ba2
shard_of_the_greatness, #ffffff
sharp_petals, #ffffcd
shendi_armor_boots, #ffffff
shendi_armor_chestplate, #ffffff
shendi_armor_helmet, #ffffff
shendi_armor_leggings, #ffffff
shinea, #fffffc
shinea_shoot, #ffffff
shining_core, #fffff8
shooting_elixir, #ffffff
shovel_of_eternity, #5c504a
shrimp, #ffffff
shroomlight_juice, #ffffff
shroomstaff, #ffffff
sigil, #978076
silver_coin, #9a9a9a
silver_ingot, #ffffff
silver_nugget, #ffffff
silver_surfer_black_emblem, #b2b1b5
silver_surfer_emblem, #ffffff
skill_box_catching, #dcd3bf
skull_crossbow, #b6beb6
sky_finger, #ffffff
sky_smithing_template, #d9d6ab
skylite_armor_boots, #cdbebf
skylite_armor_chestplate, #e3aa89
skylite_armor_helmet, #d3ae97
skylite_armor_leggings, #cdc3b5
skylite_axe, #514a3c
skylite_cannonball, #ffffff
skylite_hoe, #444036
skylite_ingot, #a48c6c
skylite_nugget, #ffffff
skylite_nugget_e, #ffffff
skylite_pickaxe, #52483c
skylite_shovel, #4a4437
skylite_sword, #695441
slaying_skill_down, #b89097
slaying_skill_up, #b68e96
slaying_textbook, #ff9684
small_ancient_chorus_fruit, #ffffff
small_present_blue, #bbbea5
small_present_green, #c3c87f
small_present_orange, #cdb19b
small_present_pink, #c69ad2
small_present_red, #f4946f
smasher, #fffff5
smelting_moth, #ff8e0e
smithing_template_golden_upgrade, #ffcf5a
smithing_template_mystic_upgrade, #98af87
smithing_template_wild_upgrade, #fefeee
smuciel_mask_helmet, #fff4f4
snowflake, #ffffff
snowy_scarf, #ffffff
soldiers_flask, #ffffff
sorcerer_smithing_template, #aaa89d
sorcerers_bag, #9d252d
sorcery_boo_glowing, #ffffe4
sorcery_book, #f1ae3c
sorcery_book_absorption, #5b739e
sorcery_book_achievement_item, #a8987a
sorcery_book_bad_builder, #d28064
sorcery_book_bad_luck, #b29848
sorcery_book_blindness, #5e575f
sorcery_book_chili, #ff8c12
sorcery_book_conduit_power, #50d4e3
sorcery_book_darkness, #373222
sorcery_book_emblem_reload, #fcb24e
sorcery_book_fire_resistance, #ff9412
sorcery_book_haste, #ffab2f
sorcery_book_health_boost, #c52212
sorcery_book_hunger, #a16919
sorcery_book_instant_damage, #805748
sorcery_book_instant_health, #c95547
sorcery_book_invisibility, #fff27f
sorcery_book_jump_boost, #f1ebff
sorcery_book_levitation, #ffffff
sorcery_book_luck, #4bd94d
sorcery_book_lunar_flames, #e7fff5
sorcery_book_mining_fatigue, #acb4c6
sorcery_book_nausea, #688a30
sorcery_book_night_vision, #696f9b
sorcery_book_of_bleeding, #ac2c1e
sorcery_book_of_electric_shock, #acc8f2
sorcery_book_of_electrocution, #d0d9ff
sorcery_book_of_hypothermia, #d7ffff
sorcery_book_of_infection, #a5caff
sorcery_book_of_oiliness, #f4c572
sorcery_book_of_sun_fire, #da5b25
sorcery_book_of_unahzaal_acid, #444836
sorcery_book_plague, #939466
sorcery_book_poison, #8cb65a
sorcery_book_portal_disease, #fc25bf
sorcery_book_radiation, #51d712
sorcery_book_regeneration, #d05a6f
sorcery_book_resistance, #968698
sorcery_book_slow_falling, #fffae0
sorcery_book_slowness, #96a4ca
sorcery_book_speed, #a0a8c9
sorcery_book_strength, #ac764e
sorcery_book_vampirism, #75b48e
sorcery_book_water_breathing, #9eded2
sorcery_book_weakness, #b2b19a
sorcery_book_wither, #75544b
sorcery_chest, #ffccb4
sorcery_skill_down, #cfcdc0
sorcery_skill_up, #d2d0c2
sorcery_textbook, #eec5dd
soul_battle_torch, #ffffff
soul_eater, #f4faff
soul_edge, #ffffff
soul_fragment, #8cccc8
soul_glass_bottle, #907c69
soul_glass_panel, #73796c
soul_lava_bucket, #a7ccd3
soul_snatcher, #ded3cc
soul_snatcher_full, #fcfffc
soul_spark, #ffffff
soul_thorns, #ffffff
soulbone, #afe1da
soulbone_spear, #ffffff
sour_milk_bucket, #c8c9c6
sour_milk_cup, #ffffff
sparking_elixir, #ffffff
spawner_cracker, #ffffff
speech_skill_down, #eda594
speech_skill_up, #eba594
speech_textbook, #fcbb65
spider_man_emblem, #ffe7da
sporebringer, #ffdc46
sporeia, #ffffff
sporeia_shoot, #ffffff
sporethrower, #c29154
squires_flask, #ffffff
staff_of_the_circle_of_flames, #ffffff
staff_of_the_soul_absorption, #ffffff
staff_of_the_soul_absorption_blueprint, #ffe0b6
staff_of_thousand_of_flames, #ffffff
star_girl_emblem, #ffffff
star_lord_emblem, #ffe0de
star_piece, #ffffff
starfox_emblem, #f8f5f8
starlight_bug_bottle, #dafcfb
starlight_bug_item, #ffffff
starly_emblem, #ffffff
starrift_staff, #ffffff
starrift_staff_blueprint, #fff5da
