// Compost colors for dramaticdoors. You may add your own colors, change existing ones, or remove colors that aren't needed.
short_aa_steel_door, #726c75
tall_macaw_spruce_japanese2_door, #d4b28a
tall_macaw_spruce_japanese_door, #cdaa82
tall_macaw_spruce_modern_door, #9e764a
tall_macaw_spruce_mystic_door, #af8250
tall_macaw_spruce_nether_door, #a2794a
tall_macaw_spruce_paper_door, #eed7bb
tall_macaw_spruce_stable_door, #836648
tall_macaw_spruce_stable_head_door, #836848
tall_macaw_spruce_swamp_door, #ae7943
tall_macaw_spruce_tropical_door, #a2794a
tall_macaw_spruce_waffle_door, #967044
tall_macaw_store_door, #ffffff
tall_macaw_warped_bamboo_door, #30b9b5
tall_macaw_warped_barn_door, #46aba2
tall_macaw_warped_barn_glass_door, #66c0bb
tall_macaw_warped_beach_door, #46aaa0
tall_macaw_warped_classic_door, #4bb9b5
tall_macaw_warped_cottage_door, #4ea19b
tall_macaw_warped_four_panel_door, #3cc3c2
tall_macaw_warped_glass_door, #b2eee8
tall_macaw_warped_japanese2_door, #8ee7e4
tall_macaw_warped_japanese_door, #84e0dc
tall_macaw_warped_modern_door, #4bafa8
tall_macaw_warped_nether_door, #44b4ae
tall_macaw_warped_paper_door, #c3f7ee
tall_macaw_warped_stable_door, #559390
tall_macaw_warped_stable_head_door, #559390
tall_macaw_warped_stem_glass_door, #b9ccd3
tall_macaw_warped_swamp_door, #46988d
tall_macaw_warped_tropical_door, #50b8b2
tall_macaw_warped_waffle_door, #47a79e
tall_mangrove_door, #a14841
tall_manyideas_acacia_blank_door, #f28255
tall_manyideas_acacia_bookshelf_door, #d78057
tall_manyideas_acacia_cassette_door, #e47a50
tall_manyideas_acacia_french_door, #ee8054
tall_manyideas_acacia_frosted_door, #ffd3b5
tall_manyideas_acacia_glass_door, #e78965
tall_manyideas_acacia_heart_door, #f28255
tall_manyideas_acacia_origin_door, #e87c51
tall_manyideas_acacia_rustic_door, #e38058
tall_manyideas_acacia_shoji_door, #ffc09e
tall_manyideas_birch_blank_door, #fff7aa
tall_manyideas_birch_bookshelf_door, #edd394
tall_manyideas_birch_cassette_door, #ffe8a0
tall_manyideas_birch_french_door, #fff2a8
tall_manyideas_birch_frosted_door, #ffffe4
tall_manyideas_birch_glass_door, #ffebae
tall_manyideas_birch_heart_door, #fff7aa
tall_manyideas_birch_origin_door, #ffeea4
tall_manyideas_birch_rustic_door, #fee6a2
tall_manyideas_birch_shoji_door, #ffffde
tall_manyideas_copper_bar_door, #b27864
tall_manyideas_copper_barrel_door, #af834e
tall_manyideas_copper_brick_door, #d68e7c
tall_manyideas_copper_corrugated_door, #805033
tall_manyideas_copper_factory_door, #6c7c6c
tall_manyideas_copper_glass_door, #ffd3c3
tall_manyideas_copper_modern_door, #ff986f
tall_manyideas_copper_ship_door, #ffa07a
tall_manyideas_copper_smooth_sandstone_door, #fffff0
tall_manyideas_copper_steampunk_door, #6b876b
tall_manyideas_crimson_blank_door, #bb587f
tall_manyideas_crimson_bookshelf_door, #b26576
tall_manyideas_crimson_cassette_door, #bc5e82
tall_manyideas_crimson_french_door, #b9587d
tall_manyideas_crimson_frosted_door, #f5becd
tall_manyideas_crimson_glass_door, #b96589
tall_manyideas_crimson_heart_door, #bb587f
tall_manyideas_crimson_origin_door, #c05f84
tall_manyideas_crimson_rustic_door, #b25c7c
tall_manyideas_crimson_shoji_door, #eda4bf
tall_manyideas_dark_oak_blank_door, #5a3a1e
tall_manyideas_dark_oak_bookshelf_door, #6c5032
tall_manyideas_dark_oak_cassette_door, #513419
tall_manyideas_dark_oak_french_door, #583a1f
tall_manyideas_dark_oak_frosted_door, #bfac98
tall_manyideas_dark_oak_glass_door, #624a34
tall_manyideas_dark_oak_heart_door, #583a1e
tall_manyideas_dark_oak_origin_door, #54371c
tall_manyideas_dark_oak_rustic_door, #5c4129
tall_manyideas_dark_oak_shoji_door, #a48d78
tall_manyideas_iron_bookshelf_door, #9b9086
tall_manyideas_iron_dwarf_door, #5b4e41
tall_manyideas_iron_fantasy_door, #48615b
tall_manyideas_iron_glass_door, #c8cacf
tall_manyideas_iron_laboratory_door, #686564
tall_manyideas_iron_rusted_door, #98918e
tall_manyideas_iron_safe_door, #757375
tall_manyideas_iron_ship_door, #ffffff
tall_manyideas_iron_space_door, #9b9082
tall_manyideas_iron_stone_brick_door, #aaa7a7
tall_manyideas_jungle_blank_door, #f2ae7c
tall_manyideas_jungle_bookshelf_door, #d7a175
tall_manyideas_jungle_cassette_door, #e7a776
tall_manyideas_jungle_french_door, #eeac7c
tall_manyideas_jungle_frosted_door, #ffebcc
tall_manyideas_jungle_glass_door, #e8af89
tall_manyideas_jungle_heart_door, #f2ae7c
tall_manyideas_jungle_origin_door, #ebaa79
tall_manyideas_jungle_rustic_door, #e1a57a
tall_manyideas_jungle_shoji_door, #ffe3be
tall_manyideas_mangrove_blank_door, #a14b47
tall_manyideas_mangrove_bookshelf_door, #a55c4d
tall_manyideas_mangrove_cassette_door, #98413d
tall_manyideas_mangrove_french_door, #9e4a46
tall_manyideas_mangrove_frosted_door, #e6b4ac
tall_manyideas_mangrove_glass_door, #a15555
tall_manyideas_mangrove_heart_door, #a14b46
tall_manyideas_mangrove_origin_door, #9b4440
tall_manyideas_mangrove_rustic_door, #a0524d
tall_manyideas_mangrove_shoji_door, #d99896
tall_manyideas_oak_blank_door, #f4c879
tall_manyideas_oak_bookshelf_door, #dab273
tall_manyideas_oak_cassette_door, #e8be72
tall_manyideas_oak_french_door, #f0c578
tall_manyideas_oak_frosted_door, #fffbca
tall_manyideas_oak_glass_door, #eac383
tall_manyideas_oak_heart_door, #f4c879
tall_manyideas_oak_origin_door, #eec276
tall_manyideas_oak_rustic_door, #e3bc78
tall_manyideas_oak_shoji_door, #fff5bc
tall_manyideas_spruce_blank_door, #8c663a
tall_manyideas_spruce_bookshelf_door, #8e6e44
tall_manyideas_spruce_cassette_door, #805e33
tall_manyideas_spruce_french_door, #896539
tall_manyideas_spruce_frosted_door, #d9c3a7
tall_manyideas_spruce_glass_door, #8d6f4d
tall_manyideas_spruce_heart_door, #8a663a
tall_manyideas_spruce_origin_door, #866437
tall_manyideas_spruce_rustic_door, #866843
tall_manyideas_spruce_shoji_door, #c9ae8d
tall_manyideas_warped_blank_door, #69e1e1
tall_manyideas_warped_bookshelf_door, #79c6bf
tall_manyideas_warped_cassette_door, #64d7d7
tall_manyideas_warped_french_door, #69dede
tall_manyideas_warped_frosted_door, #c8ffff
tall_manyideas_warped_glass_door, #70dade
tall_manyideas_warped_heart_door, #69e1e1
tall_manyideas_warped_origin_door, #66dcdc
tall_manyideas_warped_rustic_door, #6bd3d3
tall_manyideas_warped_shoji_door, #b1ffff
tall_maple_door, #bf7641
tall_menril_door, #646465
tall_metallic_door, #abb6c8
tall_minewood_door, #b4a18e
tall_mushroom_door, #ffffcc
tall_netherite_door, #4b4646
tall_netherwood_door, #b94346
tall_oak_door, #cdaa65
tall_oxidized_copper_door, #6fd4aa
tall_padded_door, #ffffff
tall_pale_oak_door, #fffcfb
tall_poisonous_mushroom_door, #ccffcd
tall_quark_ancient_door, #ffffff
tall_quark_azalea_door, #edf784
tall_quark_blossom_door, #844b40
tall_river_door, #846c5b
tall_roseroot_door, #ffffff
tall_rotten_door, #473a30
tall_rubber_wood_door, #ffe3a0
tall_rubberwood_door, #869154
tall_rue_baobab_door, #fffce3
tall_rue_blackwood_door, #44362a
tall_rue_blue_bioshroom_door, #6ee7ff
tall_rue_brimwood_door, #9d5723
tall_rue_cobalt_door, #2c4aa5
tall_rue_cypress_door, #9e9857
tall_rue_dead_door, #897266
tall_rue_eucalyptus_door, #cf8765
tall_rue_green_bioshroom_door, #a4ff89
tall_rue_joshua_door, #c29872
tall_rue_kapok_door, #dea780
tall_rue_larch_door, #dcbfa5
tall_rue_magnolia_door, #ff9894
tall_rue_maple_door, #edbb51
tall_rue_mauve_door, #9e7fb1
tall_rue_palm_door, #ffeaa4
tall_rue_pine_door, #ffd796
tall_rue_pink_bioshroom_door, #ff70f0
tall_rue_redwood_door, #ca907f
tall_rue_socotra_door, #e0a064
tall_rue_willow_door, #dacfb6
tall_rue_yellow_bioshroom_door, #ffed66
tall_runewood_door, #6c4647
tall_rusty_iron_door, #c3afa2
tall_rusty_sheet_metal_door, #a89080
tall_screen_door, #b2b2b2
tall_sheet_metal_door, #c5c8c5
tall_silver_door, #c2dcfb
tall_skyroot_door, #4ffff
tall_smogstem_door, #5c6965
tall_snowman_door, #8cb8dd
tall_sortingwood_door, #7a5032
tall_soulwood_door, #6e4e6e
tall_spruce_door, #91724a
tall_stone_door, #bbbcca
tall_strophar_door, #c5b5a5
tall_sunroot_door, #ffead3
tall_tc_bamboo_door, #e4dc7a
tall_tc_mahogany_door, #58220f
tall_tc_mangrove_door, #a75240
tall_tc_palm_door, #665146
tall_tc_thatch_door, #e8c883
tall_thorn_door, #a1764d
tall_timewood_door, #a76c51
tall_tooth_door, #ffffff
tall_towerwood_door, #b8754a
tall_transwood_door, #cfc3b4
tall_twilight_mangrove_door, #fff0b4
tall_twilight_oak_door, #ddb17d
tall_twisted_door, #9b8391
tall_walnut_door, #c38766
tall_warped_door, #41bfb6
tall_waxed_copper_door, #ff976f
tall_waxed_exposed_copper_door, #d9a890
tall_waxed_oxidized_copper_door, #6fd4aa
tall_waxed_weathered_copper_door, #9aca8d
tall_weathered_copper_door, #9aca8d
tall_white_wood_door, #ffffff
tall_wigglewood_door, #72583d
tall_yagroot_door, #6b6176
tall_zinc_door, #d4dcbe
